activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3214055	CHEMBL1105938	Inhibition of WNK1 at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O		CHEMBL1077739	=	Inhibition	%	13.0	CHEMBL1075173	Homo sapiens	INH	%	13.0
	3214055	CHEMBL1105938	Inhibition of WNK1 at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O		CHEMBL1077739	=	Inhibition	%	13.0	CHEMBL1075173	Homo sapiens	INH	%	13.0
	6385683	CHEMBL1838136	Inhibition of human Wnk1 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1		CHEMBL1834114	<	Inhibition	%	35.0	CHEMBL1075173	Homo sapiens	INH	%	35.0
	6385684	CHEMBL1838136	Inhibition of human Wnk1 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCNc2ccccn2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CCCC1		CHEMBL1834318	<	Inhibition	%	35.0	CHEMBL1075173	Homo sapiens	INH	%	35.0
	6385685	CHEMBL1838136	Inhibition of human Wnk1 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1834323	<	Inhibition	%	35.0	CHEMBL1075173	Homo sapiens	INH	%	35.0
	6385686	CHEMBL1838136	Inhibition of human Wnk1 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	CC(C)[C@@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1834324	<	Inhibition	%	35.0	CHEMBL1075173	Homo sapiens	INH	%	35.0
	6385687	CHEMBL1838136	Inhibition of human Wnk1 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCNc2ccccn2)c2c3c1c(=O)c(C(=O)O)cn3C1(CCCC1)CO2		CHEMBL1834330	<	Inhibition	%	35.0	CHEMBL1075173	Homo sapiens	INH	%	35.0
	6387479	CHEMBL1839929	Inhibition of recombinant WNK1	B	CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1.O=P(O)(O)O		CHEMBL1834657	>	IC50	nM	10000.0	CHEMBL1075173	Homo sapiens	IC50	uM	10.0
	8013084	CHEMBL1947871	Inhibition of WNK1 using ATP as substrate	B	Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O		CHEMBL1945559	>	IC50	nM	10000.0	CHEMBL1075173	Homo sapiens	IC50	uM	10.0
	10839497	CHEMBL2015528	Inhibition of WNK1 at 10 uM	B	COc1ccc2c3ccnc(C(F)(F)F)c3n(CCCCN)c2c1		CHEMBL2012574	=	Inhibition	%	5.0	CHEMBL1075173	Homo sapiens	INH	%	5.0
