activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1723380	CHEMBL862044	Inhibition of Plk3	B	CCOc1nc(NC(C)=O)cc(N)c1C#N		CHEMBL208637	>	Ki	nM	8000.0	CHEMBL4897	Homo sapiens	Ki	nM	8000.0
	1723380	CHEMBL862044	Inhibition of Plk3	B	CCOc1nc(NC(C)=O)cc(N)c1C#N		CHEMBL208637	>	Ki	nM	8000.0	CHEMBL4897	Homo sapiens	Ki	nM	8000.0
	1723439	CHEMBL862044	Inhibition of Plk3	B	CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1		CHEMBL210032	>	Ki	nM	8000.0	CHEMBL4897	Homo sapiens	Ki	nM	8000.0
	1723500	CHEMBL862044	Inhibition of Plk3	B	CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl		CHEMBL210928	>	Ki	nM	8000.0	CHEMBL4897	Homo sapiens	Ki	nM	8000.0
	1723501	CHEMBL862044	Inhibition of Plk3	B	COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1		CHEMBL378627	>	Ki	nM	8000.0	CHEMBL4897	Homo sapiens	Ki	nM	8000.0
	1723502	CHEMBL862044	Inhibition of Plk3	B	CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N		CHEMBL210963	>	Ki	nM	8000.0	CHEMBL4897	Homo sapiens	Ki	nM	8000.0
	1723503	CHEMBL862044	Inhibition of Plk3	B	CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N		CHEMBL210618	>	Ki	nM	8000.0	CHEMBL4897	Homo sapiens	Ki	nM	8000.0
	1744387	CHEMBL866670	Inhibition of Plk3	B	CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl		CHEMBL377383	>	Ki	nM	8000.0	CHEMBL4897	Homo sapiens	Ki	uM	8.0
	1824672	CHEMBL915364	Inhibition of Plk3	B	CS(=O)(=O)Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO2		CHEMBL223460	>	Ki	nM	10000.0	CHEMBL4897	Homo sapiens	Ki	uM	10.0
	1824756	CHEMBL915364	Inhibition of Plk3	B	N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2		CHEMBL373598	=	Ki	nM	820.0	CHEMBL4897	Homo sapiens	Ki	uM	0.82
	1824832	CHEMBL915364	Inhibition of Plk3	B	N#Cc1ncc2nc1OCCCCCOc1cc(CCCO)c(Cl)cc1NC(=O)N2		CHEMBL223367	=	Ki	nM	560.0	CHEMBL4897	Homo sapiens	Ki	uM	0.56
	1856928	CHEMBL920671	Inhibition of human PLK3 in presence of 25 uM ATP	B	C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br		CHEMBL228043	=	IC50	nM	61000.0	CHEMBL4897	Homo sapiens	IC50	uM	61.0
	1856929	CHEMBL920672	Inhibition of human PLK3 in presence of 50 uM ATP	B	C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br		CHEMBL228043	=	IC50	nM	79000.0	CHEMBL4897	Homo sapiens	IC50	uM	79.0
	1856930	CHEMBL920673	Inhibition of human PLK3 in presence of 75 uM ATP	B	C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br	Outside typical range	CHEMBL228043	=	IC50	nM	120000.0	CHEMBL4897	Homo sapiens	IC50	uM	120.0
	1856931	CHEMBL920674	Inhibition of human PLK3 in presence of 100 uM ATP	B	C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br	Outside typical range	CHEMBL228043	=	IC50	nM	125000.0	CHEMBL4897	Homo sapiens	IC50	uM	125.0
	1856932	CHEMBL920675	Inhibition of human PLK3 in presence of 200 uM ATP	B	C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br	Outside typical range	CHEMBL228043	=	IC50	nM	262000.0	CHEMBL4897	Homo sapiens	IC50	uM	262.0
	1856933	CHEMBL920676	Inhibition of human PLK3 measured by Dixon plot	B	C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br		CHEMBL228043	=	IC50	nM	7200.0	CHEMBL4897	Homo sapiens	IC50	uM	7.2
	1856953	CHEMBL920658	Inhibition of human PLK3	B	C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br		CHEMBL228043	=	IC50	nM	61000.0	CHEMBL4897	Homo sapiens	IC50	uM	61.0
	2051573	CHEMBL942714	Inhibition of PLK3	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	=	Ki	nM	1085.0	CHEMBL4897	Homo sapiens	Ki	uM	1.085
	2137128	CHEMBL936778	Inhibition of Plk3	B	C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br		CHEMBL228043	=	IC50	nM	61000.0	CHEMBL4897	Homo sapiens	IC50	nM	61000.0
	2147366	CHEMBL922151	Activity of human Plk3 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	105.0	CHEMBL4897	Homo sapiens	Activity	%	105.0
