activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1650234	CHEMBL860652	Average Binding Constant for CLK4; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL4203	Homo sapiens	Kd		
Not Active	1650234	CHEMBL860652	Average Binding Constant for CLK4; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL4203	Homo sapiens	Kd		
	1650235	CHEMBL860652	Average Binding Constant for CLK4; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	=	Kd	nM	2900.0	CHEMBL4203	Homo sapiens	Kd	uM	2.9
Not Active	1650236	CHEMBL860652	Average Binding Constant for CLK4; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL4203	Homo sapiens	Kd		
	1650237	CHEMBL860652	Average Binding Constant for CLK4; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	80.0	CHEMBL4203	Homo sapiens	Kd	uM	0.08
Not Active	1650238	CHEMBL860652	Average Binding Constant for CLK4; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL4203	Homo sapiens	Kd		
	1650239	CHEMBL860652	Average Binding Constant for CLK4; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	=	Kd	nM	8300.0	CHEMBL4203	Homo sapiens	Kd	uM	8.3
Not Active	1650240	CHEMBL860652	Average Binding Constant for CLK4; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336		Kd			CHEMBL4203	Homo sapiens	Kd		
	1650241	CHEMBL860652	Average Binding Constant for CLK4; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762	=	Kd	nM	4500.0	CHEMBL4203	Homo sapiens	Kd	uM	4.5
Not Active	1650242	CHEMBL860652	Average Binding Constant for CLK4; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690		Kd			CHEMBL4203	Homo sapiens	Kd		
