activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1651035	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1651035	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1651036	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1651037	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1651038	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1651039	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1651040	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1651041	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1651042	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1651043	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652347	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652348	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652349	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652350	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652351	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652352	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	Oc1c2ccccc2c2c3c(cccc13)N=N2		CHEMBL1725279		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652353	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652354	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652355	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652356	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828		Kd			CHEMBL4309	Homo sapiens	Kd		
Not Active	1652357	CHEMBL860650	Average Binding Constant for NEK6; NA=Not Active at 10 uM	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965		Kd			CHEMBL4309	Homo sapiens	Kd		
	1665757	CHEMBL860249	Inhibition of NEK6 at 10 uM	B	CN1C(=O)C(C(=O)Nc2nncs2)c2cc3occc3cc21		CHEMBL200906	=	Inhibition	%	7.0	CHEMBL4309	Homo sapiens	Inhibition	%	7.0
