activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1650225	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1650225	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1650226	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1650227	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1650228	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1650229	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1650230	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1650231	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336		Kd			CHEMBL2426	Homo sapiens	Kd		
	1650232	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762	=	Kd	nM	3300.0	CHEMBL2426	Homo sapiens	Kd	uM	3.3
Not Active	1650233	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1651830	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1651831	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1651832	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1651833	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1651834	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667		Kd			CHEMBL2426	Homo sapiens	Kd		
	1651835	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	Oc1c2ccccc2c2c3c(cccc13)N=N2		CHEMBL1725279	=	Kd	nM	3700.0	CHEMBL2426	Homo sapiens	Kd	uM	3.7
Not Active	1651836	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1651837	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1651838	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1651839	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828		Kd			CHEMBL2426	Homo sapiens	Kd		
Not Active	1651840	CHEMBL860913	Average Binding Constant for CSNK1G1; NA=Not Active at 10 uM	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965		Kd			CHEMBL2426	Homo sapiens	Kd		
	2147219	CHEMBL929098	Activity of human CK1gamma1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	92.0	CHEMBL2426	Homo sapiens	Activity	%	92.0
	2393799	CHEMBL1004494	Binding affinity to human recombinant CSNK1G1 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O		CHEMBL278315	<	Tm	degrees C	2.0	CHEMBL2426	Homo sapiens	Tm	degrees C	2.0
	2393800	CHEMBL1004494	Binding affinity to human recombinant CSNK1G1 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1		CHEMBL414883	<	Tm	degrees C	2.0	CHEMBL2426	Homo sapiens	Tm	degrees C	2.0
	2393801	CHEMBL1004494	Binding affinity to human recombinant CSNK1G1 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	COc1cc2c(c(OC)c1)C(=O)O[C@@H](C)CCC[C@@H](O)[C@@H](C)CC/C=C/2		CHEMBL454394	<	Tm	degrees C	2.0	CHEMBL2426	Homo sapiens	Tm	degrees C	2.0
	2393802	CHEMBL1004494	Binding affinity to human recombinant CSNK1G1 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	COc1cc2c(c(OC)c1)C(=O)O[C@@H](C)CCCC(=O)[C@@H](C)CC/C=C/2		CHEMBL453389	<	Tm	degrees C	2.0	CHEMBL2426	Homo sapiens	Tm	degrees C	2.0
	2393803	CHEMBL1004494	Binding affinity to human recombinant CSNK1G1 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	COc1cc(O)c2c(c1)/C=C/CC[C@H](C)C(=O)CCC[C@H](C)OC2=O		CHEMBL510836	<	Tm	degrees C	2.0	CHEMBL2426	Homo sapiens	Tm	degrees C	2.0
	2393804	CHEMBL1004494	Binding affinity to human recombinant CSNK1G1 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1		CHEMBL454173	<	Tm	degrees C	2.0	CHEMBL2426	Homo sapiens	Tm	degrees C	2.0
	2393805	CHEMBL1004494	Binding affinity to human recombinant CSNK1G1 expressed in Escherichia coli assessed as thermal shift by differential scanning fluorimetry	B	C[C@H]1CCCC(=O)[C@@H](C)CC/C=C/c2cc(O)cc(O)c2C(=O)O1		CHEMBL453375	<	Tm	degrees C	2.0	CHEMBL2426	Homo sapiens	Tm	degrees C	2.0
