activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	678258	CHEMBL807607	Rate of phosphorylation of labeled sphingosine derivative by by human SPHK-2 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCOC(=O)CCCc1ccc2ccc3cccc4ccc1c2c34		CHEMBL290544	=	Rate		0.14	CHEMBL3023	Homo sapiens	Rate		0.14
	678258	CHEMBL807607	Rate of phosphorylation of labeled sphingosine derivative by by human SPHK-2 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCOC(=O)CCCc1ccc2ccc3cccc4ccc1c2c34		CHEMBL290544	=	Rate		0.14	CHEMBL3023	Homo sapiens	Rate		0.14
	685049	CHEMBL807607	Rate of phosphorylation of labeled sphingosine derivative by by human SPHK-2 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCOC(=O)CCCCCc1ccc2ccc3cccc4ccc1c2c34		CHEMBL288581	=	Rate		0.83	CHEMBL3023	Homo sapiens	Rate		0.83
	685051	CHEMBL807607	Rate of phosphorylation of labeled sphingosine derivative by by human SPHK-2 expressed in HEK293 cells relative to rate of D-sphingosine	F	NC(CO)[C@H](O)/C=C/CCCCCCCCCCNC(=O)c1ccc2ccc3cccc4ccc1c2c34		CHEMBL263205	=	Rate		1.25	CHEMBL3023	Homo sapiens	Rate		1.25
	687570	CHEMBL807607	Rate of phosphorylation of labeled sphingosine derivative by by human SPHK-2 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCOC(=O)CCCCCCCCCc1ccc2ccc3cccc4ccc1c2c34		CHEMBL43580	=	Rate		0.065	CHEMBL3023	Homo sapiens	Rate		0.065
	694021	CHEMBL807607	Rate of phosphorylation of labeled sphingosine derivative by by human SPHK-2 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCNc1ccc([N+](=O)[O-])c2nonc12		CHEMBL41887	=	Rate		0.48	CHEMBL3023	Homo sapiens	Rate		0.48
	695399	CHEMBL807607	Rate of phosphorylation of labeled sphingosine derivative by by human SPHK-2 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCOC(=O)c1ccc2ccc3cccc4ccc1c2c34		CHEMBL277387	=	Rate		1.25	CHEMBL3023	Homo sapiens	Rate		1.25
	702341	CHEMBL807607	Rate of phosphorylation of labeled sphingosine derivative by by human SPHK-2 expressed in HEK293 cells relative to rate of D-sphingosine	F	CN(C)c1ccc(S(=O)(=O)NCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO)c2ccccc12		CHEMBL174861	=	Rate		0.026	CHEMBL3023	Homo sapiens	Rate		0.026
	712815	CHEMBL807607	Rate of phosphorylation of labeled sphingosine derivative by by human SPHK-2 expressed in HEK293 cells relative to rate of D-sphingosine	F	NC(CO)[C@H](O)/C=C/CCCCCCCCCCNS(=O)(=O)c1ccc2ccc3cccc4ccc1c2c34		CHEMBL38414	=	Rate		0.83	CHEMBL3023	Homo sapiens	Rate		0.83
	1662660	CHEMBL864560	Rate of phosphorylation by recombinant human SPHK2 using	B	CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1		CHEMBL314854	=	Activity	%	14.1	CHEMBL3023	Homo sapiens	Activity	%	14.1
	1662666	CHEMBL864560	Rate of phosphorylation by recombinant human SPHK2 using	B	C[C@](N)(CO)CCc1ccc(OCCCCCCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)cc1		CHEMBL369932	=	Activity	%	119.0	CHEMBL3023	Homo sapiens	Activity	%	119.0
	1662667	CHEMBL864560	Rate of phosphorylation by recombinant human SPHK2 using	B	C[C@](N)(CO)CCc1ccc(OCCCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)cc1		CHEMBL199425	=	Activity	%	6.5	CHEMBL3023	Homo sapiens	Activity	%	6.5
	1662668	CHEMBL864560	Rate of phosphorylation by recombinant human SPHK2 using	B	C[C@](N)(CO)CCc1ccc(OCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)cc1		CHEMBL200362	=	Activity	%	9.0	CHEMBL3023	Homo sapiens	Activity	%	9.0
	1662669	CHEMBL864560	Rate of phosphorylation by recombinant human SPHK2 using	B	C[C@](N)(CO)CCc1ccc(OCCCCNc2ccc([N+](=O)[O-])c3nonc23)cc1		CHEMBL199882	<	Activity	%	0.1	CHEMBL3023	Homo sapiens	Activity	%	0.1
	1662670	CHEMBL864560	Rate of phosphorylation by recombinant human SPHK2 using	B	CCCCCCCOc1ccc(CC[C@@](C)(N)CO)cc1		CHEMBL268745	=	Activity	%	22.9	CHEMBL3023	Homo sapiens	Activity	%	22.9
	2013299	CHEMBL902399	Effect on rate of phosphorylation of human recombinant SPHK2 expressed in HEK293 cells	B	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO		CHEMBL67166	=	Activity	%	100.0	CHEMBL3023	Homo sapiens	Activity	%	100.0
	2013303	CHEMBL902399	Effect on rate of phosphorylation of human recombinant SPHK2 expressed in HEK293 cells	B	CCCCCCCCc1ccc([C@@H]2C[C@@H](CO)N[C@H]2CO)cc1.Cl		CHEMBL537892	<	Activity	%	0.1	CHEMBL3023	Homo sapiens	Activity	%	0.1
	2013304	CHEMBL902399	Effect on rate of phosphorylation of human recombinant SPHK2 expressed in HEK293 cells	B	CCCCCCCCc1ccc([C@H]2C[C@H](CO)N[C@@H]2CO)cc1.Cl		CHEMBL247903	=	Activity	%	55.0	CHEMBL3023	Homo sapiens	Activity	%	55.0
	2013305	CHEMBL902399	Effect on rate of phosphorylation of human recombinant SPHK2 expressed in HEK293 cells	B	CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1		CHEMBL314854	=	Activity	%	13.0	CHEMBL3023	Homo sapiens	Activity	%	13.0
	2634019	CHEMBL995448	Effect on human cloned SPHK2 activity expressed in CHO cells at 10 uM relative to basal level	B	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C		CHEMBL322333	=	Activity	%	66.97	CHEMBL3023	Homo sapiens	Activity	%	66.97
	2634020	CHEMBL995448	Effect on human cloned SPHK2 activity expressed in CHO cells at 10 uM relative to basal level	B	CCCCCCCCCCCCCC#CC(=O)[C@H](CO)NC(=O)OC(C)(C)C		CHEMBL495816	=	Activity	%	45.88	CHEMBL3023	Homo sapiens	Activity	%	45.88
	2634021	CHEMBL995448	Effect on human cloned SPHK2 activity expressed in CHO cells at 10 uM relative to basal level	B	CCCCCCCCC#CC(=O)[C@H](CO)NC(=O)OC(C)(C)C		CHEMBL495800	=	Activity	%	89.88	CHEMBL3023	Homo sapiens	Activity	%	89.88
	2634022	CHEMBL995448	Effect on human cloned SPHK2 activity expressed in CHO cells at 10 uM relative to basal level	B	CCCCC#CC(=O)[C@H](CO)NC(=O)OC(C)(C)C		CHEMBL495799	=	Activity	%	117.27	CHEMBL3023	Homo sapiens	Activity	%	117.27
	2634023	CHEMBL995448	Effect on human cloned SPHK2 activity expressed in CHO cells at 10 uM relative to basal level	B	CCCCCCC(=O)[C@@H]1COC(C)(C)N1C(=O)OC(C)(C)C		CHEMBL523732	=	Activity	%	126.29	CHEMBL3023	Homo sapiens	Activity	%	126.29
	2634024	CHEMBL995448	Effect on human cloned SPHK2 activity expressed in CHO cells at 10 uM relative to basal level	B	CCCCCCCCCCCCCC#CC(=O)[C@@H]1COC(C)(C)N1C(=O)OC(C)(C)C		CHEMBL495798	=	Activity	%	117.06	CHEMBL3023	Homo sapiens	Activity	%	117.06
