activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1650531	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1650531	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL4312	Homo sapiens	Kd		
	1650532	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	=	Kd	nM	1200.0	CHEMBL4312	Homo sapiens	Kd	uM	1.2
Not Active	1650533	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1650534	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1650535	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1650536	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829		Kd			CHEMBL4312	Homo sapiens	Kd		
	1650537	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	=	Kd	nM	5400.0	CHEMBL4312	Homo sapiens	Kd	uM	5.4
Not Active	1650538	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1650539	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690		Kd			CHEMBL4312	Homo sapiens	Kd		
	1651159	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	Kd	nM	2900.0	CHEMBL4312	Homo sapiens	Kd	uM	2.9
	1651160	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041	=	Kd	nM	3800.0	CHEMBL4312	Homo sapiens	Kd	uM	3.8
	1651161	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10	=	Kd	nM	860.0	CHEMBL4312	Homo sapiens	Kd	uM	0.86
Not Active	1651162	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1651163	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1651164	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	Oc1c2ccccc2c2c3c(cccc13)N=N2		CHEMBL1725279		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1651165	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1651166	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1651167	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553		Kd			CHEMBL4312	Homo sapiens	Kd		
Not Active	1651168	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828		Kd			CHEMBL4312	Homo sapiens	Kd		
	1651169	CHEMBL860647	Average Binding Constant for STK36; NA=Not Active at 10 uM	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	=	Kd	nM	2700.0	CHEMBL4312	Homo sapiens	Kd	uM	2.7
	2470370	CHEMBL981752	Inhibition of STK36 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL4312	Homo sapiens	INH	%	10.0
