activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	578269	CHEMBL698856	Inhibition of Interleukin-1 receptor-associated kinase-4	B	C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1		CHEMBL142425	>	IC50	nM	30000.0	CHEMBL3778	Homo sapiens	IC50	uM	30.0
	578269	CHEMBL698856	Inhibition of Interleukin-1 receptor-associated kinase-4	B	C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1		CHEMBL142425	>	IC50	nM	30000.0	CHEMBL3778	Homo sapiens	IC50	uM	30.0
	1663207	CHEMBL863888	Inhibitory activity against IRAK4	B	COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C		CHEMBL197603	>	IC50	nM	25000.0	CHEMBL3778	Homo sapiens	IC50	uM	25.0
	1723345	CHEMBL861307	Inhibition of IRAK4	B	CCOc1nc(NC(C)=O)cc(N)c1C#N		CHEMBL208637	>	Ki	nM	9900.0	CHEMBL3778	Homo sapiens	Ki	nM	9900.0
	1723614	CHEMBL861307	Inhibition of IRAK4	B	CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl		CHEMBL210928	>	Ki	nM	9900.0	CHEMBL3778	Homo sapiens	Ki	nM	9900.0
	1723615	CHEMBL861307	Inhibition of IRAK4	B	CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1		CHEMBL210032	>	Ki	nM	9900.0	CHEMBL3778	Homo sapiens	Ki	nM	9900.0
	1723616	CHEMBL861307	Inhibition of IRAK4	B	COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1		CHEMBL378627	>	Ki	nM	9900.0	CHEMBL3778	Homo sapiens	Ki	nM	9900.0
	1723617	CHEMBL861307	Inhibition of IRAK4	B	CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N		CHEMBL210963	>	Ki	nM	9900.0	CHEMBL3778	Homo sapiens	Ki	nM	9900.0
	1723618	CHEMBL861307	Inhibition of IRAK4	B	CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N		CHEMBL210618	>	Ki	nM	9900.0	CHEMBL3778	Homo sapiens	Ki	nM	9900.0
	1724376	CHEMBL870864	Inhibition of IRAK4	B	O=C(Nc1nc2ccccc2[nH]1)c1cccc([N+](=O)[O-])c1		CHEMBL210658	=	IC50	nM	4000.0	CHEMBL3778	Homo sapiens	IC50	uM	4.0
