activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	678257	CHEMBL807606	Rate of phosphorylation of labeled sphingosine derivative by human SPHK-1 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCOC(=O)CCCc1ccc2ccc3cccc4ccc1c2c34		CHEMBL290544	=	Rate		0.048	CHEMBL4394	Homo sapiens	Rate		0.048
	678257	CHEMBL807606	Rate of phosphorylation of labeled sphingosine derivative by human SPHK-1 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCOC(=O)CCCc1ccc2ccc3cccc4ccc1c2c34		CHEMBL290544	=	Rate		0.048	CHEMBL4394	Homo sapiens	Rate		0.048
	685048	CHEMBL807606	Rate of phosphorylation of labeled sphingosine derivative by human SPHK-1 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCOC(=O)CCCCCc1ccc2ccc3cccc4ccc1c2c34		CHEMBL288581	=	Rate		0.078	CHEMBL4394	Homo sapiens	Rate		0.078
	685050	CHEMBL807606	Rate of phosphorylation of labeled sphingosine derivative by human SPHK-1 expressed in HEK293 cells relative to rate of D-sphingosine	F	NC(CO)[C@H](O)/C=C/CCCCCCCCCCNC(=O)c1ccc2ccc3cccc4ccc1c2c34		CHEMBL263205	=	Rate		0.83	CHEMBL4394	Homo sapiens	Rate		0.83
	687569	CHEMBL807606	Rate of phosphorylation of labeled sphingosine derivative by human SPHK-1 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCOC(=O)CCCCCCCCCc1ccc2ccc3cccc4ccc1c2c34		CHEMBL43580	=	Rate		0.024	CHEMBL4394	Homo sapiens	Rate		0.024
	694020	CHEMBL807606	Rate of phosphorylation of labeled sphingosine derivative by human SPHK-1 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCNc1ccc([N+](=O)[O-])c2nonc12		CHEMBL41887	=	Rate		0.5	CHEMBL4394	Homo sapiens	Rate		0.5
	695398	CHEMBL807606	Rate of phosphorylation of labeled sphingosine derivative by human SPHK-1 expressed in HEK293 cells relative to rate of D-sphingosine	F	N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCOC(=O)c1ccc2ccc3cccc4ccc1c2c34		CHEMBL277387	=	Rate		0.83	CHEMBL4394	Homo sapiens	Rate		0.83
	702340	CHEMBL807606	Rate of phosphorylation of labeled sphingosine derivative by human SPHK-1 expressed in HEK293 cells relative to rate of D-sphingosine	F	CN(C)c1ccc(S(=O)(=O)NCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO)c2ccccc12		CHEMBL174861	=	Rate		0.063	CHEMBL4394	Homo sapiens	Rate		0.063
	712814	CHEMBL807606	Rate of phosphorylation of labeled sphingosine derivative by human SPHK-1 expressed in HEK293 cells relative to rate of D-sphingosine	F	NC(CO)[C@H](O)/C=C/CCCCCCCCCCNS(=O)(=O)c1ccc2ccc3cccc4ccc1c2c34		CHEMBL38414	=	Rate		0.051	CHEMBL4394	Homo sapiens	Rate		0.051
	1662659	CHEMBL864526	Rate of phosphorylation by recombinant human SPHK1	B	CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1		CHEMBL314854	=	Activity	%	0.6	CHEMBL4394	Homo sapiens	Activity	%	0.6
	1662661	CHEMBL864526	Rate of phosphorylation by recombinant human SPHK1	B	C[C@](N)(CO)CCc1ccc(OCCCCCCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)cc1		CHEMBL369932	=	Activity	%	5.6	CHEMBL4394	Homo sapiens	Activity	%	5.6
	1662662	CHEMBL864526	Rate of phosphorylation by recombinant human SPHK1	B	C[C@](N)(CO)CCc1ccc(OCCCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)cc1		CHEMBL199425	=	Activity	%	1.9	CHEMBL4394	Homo sapiens	Activity	%	1.9
	1662663	CHEMBL864526	Rate of phosphorylation by recombinant human SPHK1	B	C[C@](N)(CO)CCc1ccc(OCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)cc1		CHEMBL200362	=	Activity	%	0.7	CHEMBL4394	Homo sapiens	Activity	%	0.7
	1662664	CHEMBL864526	Rate of phosphorylation by recombinant human SPHK1	B	C[C@](N)(CO)CCc1ccc(OCCCCNc2ccc([N+](=O)[O-])c3nonc23)cc1		CHEMBL199882	<	Activity	%	0.1	CHEMBL4394	Homo sapiens	Activity	%	0.1
	1662665	CHEMBL864526	Rate of phosphorylation by recombinant human SPHK1	B	CCCCCCCOc1ccc(CC[C@@](C)(N)CO)cc1		CHEMBL268745	=	Activity	%	4.3	CHEMBL4394	Homo sapiens	Activity	%	4.3
	2013298	CHEMBL902398	Effect on rate of phosphorylation of human recombinant SPHK1 expressed in HEK293 cells	B	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO		CHEMBL67166	=	Activity	%	100.0	CHEMBL4394	Homo sapiens	Activity	%	100.0
	2013300	CHEMBL902398	Effect on rate of phosphorylation of human recombinant SPHK1 expressed in HEK293 cells	B	CCCCCCCCc1ccc([C@@H]2C[C@@H](CO)N[C@H]2CO)cc1.Cl		CHEMBL537892	<	Activity	%	0.1	CHEMBL4394	Homo sapiens	Activity	%	0.1
