activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	616601	CHEMBL708208	Inhibition of MLK-7 kinase	B	Cn1ccc2ccc3c4[nH]c5c(CCCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O		CHEMBL307152	=	IC50	nM	9970.0	CHEMBL3886	Homo sapiens	IC50	uM	9.97
	616601	CHEMBL708208	Inhibition of MLK-7 kinase	B	Cn1ccc2ccc3c4[nH]c5c(CCCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O		CHEMBL307152	=	IC50	nM	9970.0	CHEMBL3886	Homo sapiens	IC50	uM	9.97
	1462025	CHEMBL877129	Inhibition of human MLK7	B	CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1		CHEMBL363058	>	IC50	nM	20000.0	CHEMBL3886	Homo sapiens	IC50	uM	20.0
	1462141	CHEMBL877129	Inhibition of human MLK7	B	O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2		CHEMBL362588	>	IC50	nM	20000.0	CHEMBL3886	Homo sapiens	IC50	uM	20.0
	1462179	CHEMBL877129	Inhibition of human MLK7	B	O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2		CHEMBL178737	=	IC50	nM	13400.0	CHEMBL3886	Homo sapiens	IC50	uM	13.4
	1462292	CHEMBL877129	Inhibition of human MLK7	B	CN(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1		CHEMBL362814	>	IC50	nM	20000.0	CHEMBL3886	Homo sapiens	IC50	uM	20.0
	1462308	CHEMBL877129	Inhibition of human MLK7	B	O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2		CHEMBL362558	>	IC50	nM	20000.0	CHEMBL3886	Homo sapiens	IC50	uM	20.0
	1691983	CHEMBL861565	Inhibition of MLK7	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454	=	IC50	nM	1400.0	CHEMBL3886	Homo sapiens	IC50	uM	1.4
	1692027	CHEMBL861565	Inhibition of MLK7	B	c1ccc(-c2nn3c(c2-c2ccc4c(c2)ncn4CCCOC2CCCCO2)CCC3)nc1		CHEMBL204158	>	IC50	nM	20000.0	CHEMBL3886	Homo sapiens	IC50	uM	20.0
	1692028	CHEMBL861565	Inhibition of MLK7	B	Cc1cccc(-c2nn3c(c2-c2ccc4c(c2)ncn4CCCOC2CCCCO2)CCC3)n1		CHEMBL202625	>	IC50	nM	20000.0	CHEMBL3886	Homo sapiens	IC50	uM	20.0
	1692029	CHEMBL861565	Inhibition of MLK7	B	Cn1cnc2cc(-c3c(-c4ccccn4)nn4c3CCC4)ccc21		CHEMBL203214	>	IC50	nM	20000.0	CHEMBL3886	Homo sapiens	IC50	uM	20.0
	1692030	CHEMBL861565	Inhibition of MLK7	B	c1ccc(-c2nn3c(c2-c2ccc4[nH]cnc4c2)CCC3)nc1		CHEMBL204139	>	IC50	nM	20000.0	CHEMBL3886	Homo sapiens	IC50	uM	20.0
