activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2147393	CHEMBL922178	Activity of human Snk kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	110.0	CHEMBL5938	Homo sapiens	Activity	%	110.0
	2147393	CHEMBL922178	Activity of human Snk kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	110.0	CHEMBL5938	Homo sapiens	Activity	%	110.0
Active	2197837	CHEMBL995301	Inhibition of AX-7503 binding to recombinant Plk2 at 1 uM by Western blot	B	COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O		CHEMBL428496		Activity			CHEMBL5938	Homo sapiens	Activity		
	2486523	CHEMBL991583	Inhibition of human Plk2	B	Cc1cccc(-c2noc3cnc(N[C@@H](C)c4ccccc4)cc23)c1		CHEMBL489992	=	IC50	nM	1449.0	CHEMBL5938	Homo sapiens	IC50	uM	1.449
	2486525	CHEMBL991583	Inhibition of human Plk2	B	C[C@H](Nc1cc2c(-c3cc(Cl)cc(CCC(N)=O)c3)noc2cn1)c1ccccc1		CHEMBL491021	=	IC50	nM	172.0	CHEMBL5938	Homo sapiens	IC50	uM	0.172
	2486526	CHEMBL991583	Inhibition of human Plk2	B	C[C@H](Nc1cc2c(-c3ccc4c(c3)OCO4)noc2cn1)c1ccccc1		CHEMBL522618	=	IC50	nM	4.0	CHEMBL5938	Homo sapiens	IC50	uM	0.004
	2511604	CHEMBL973458	Inhibition of PLK2	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	IC50	nM	197.0	CHEMBL5938	Homo sapiens	IC50	uM	0.197
	2511619	CHEMBL973458	Inhibition of PLK2	B	COc1ccc(NC(=S)N/N=C2\C(=O)Nc3ccccc32)cc1		CHEMBL504574	>	IC50	nM	50000.0	CHEMBL5938	Homo sapiens	IC50	uM	50.0
	2511976	CHEMBL973493	Inhibition of PLK2 at 1 uM	B	CC(=O)N1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1		CHEMBL508307	=	Inhibition	%	12.0	CHEMBL5938	Homo sapiens	INH	%	12.0
	2721528	CHEMBL1059126	Inhibition of PLK2 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	>	Inhibition	%	50.0	CHEMBL5938	Homo sapiens	INH	%	50.0
	2721530	CHEMBL1059128	Inhibition of PLK2	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	=	IC50	nM	21.0	CHEMBL5938	Homo sapiens	IC50	nM	21.0
	3052485	CHEMBL1072523	Residual activity of SNK at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	89.0	CHEMBL5938	Homo sapiens	Residual activity	%	89.0
	3052737	CHEMBL1043816	Residual activity of SNK at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	94.0	CHEMBL5938	Homo sapiens	Residual activity	%	94.0
	3054046	CHEMBL1071376	Residual activity of SNK at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	99.0	CHEMBL5938	Homo sapiens	Residual activity	%	99.0
	3055333	CHEMBL1072523	Residual activity of SNK at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	89.0	CHEMBL5938	Homo sapiens	Residual activity	%	89.0
	3055585	CHEMBL1043816	Residual activity of SNK at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	86.0	CHEMBL5938	Homo sapiens	Residual activity	%	86.0
	3056890	CHEMBL1071376	Residual activity of SNK at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	108.0	CHEMBL5938	Homo sapiens	Residual activity	%	108.0
	3057142	CHEMBL1072523	Residual activity of SNK at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	108.0	CHEMBL5938	Homo sapiens	Residual activity	%	108.0
	3058462	CHEMBL1043816	Residual activity of SNK at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	86.0	CHEMBL5938	Homo sapiens	Residual activity	%	86.0
	3059746	CHEMBL1071376	Residual activity of SNK at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	120.0	CHEMBL5938	Homo sapiens	Residual activity	%	120.0
	3127412	CHEMBL1064450	Inhibition of PLK2 by scintillation proximity assay	B	CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C		CHEMBL1230607	>	IC50	nM	10000.0	CHEMBL5938	Homo sapiens	IC50	uM	10.0
	3127446	CHEMBL1064450	Inhibition of PLK2 by scintillation proximity assay	B	CC(C)(C)C(=O)N1Cc2c(NC(=O)c3cc(F)cc(F)c3)n[nH]c2C1(C)C		CHEMBL604712	>	IC50	nM	10000.0	CHEMBL5938	Homo sapiens	IC50	uM	10.0
	3214029	CHEMBL1103224	Inhibition of PLK2 at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O		CHEMBL1077739	=	Inhibition	%	3.0	CHEMBL5938	Homo sapiens	INH	%	3.0
