activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3021230	CHEMBL1038363	Inhibition of PEK	B	CNc1ccn(-c2ccccc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cn1		CHEMBL585927	>	IC50	nM	1000.0	CHEMBL6030	Homo sapiens	IC50	uM	1.0
	3021230	CHEMBL1038363	Inhibition of PEK	B	CNc1ccn(-c2ccccc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cn1		CHEMBL585927	>	IC50	nM	1000.0	CHEMBL6030	Homo sapiens	IC50	uM	1.0
	3052590	CHEMBL1037131	Residual activity of EIF2AK3 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	90.0	CHEMBL6030	Homo sapiens	Residual activity	%	90.0
	3053899	CHEMBL1044299	Residual activity of EIF2AK3 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	155.0	CHEMBL6030	Homo sapiens	Residual activity	%	155.0
	3054151	CHEMBL1049468	Residual activity of EIF2AK3 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	90.0	CHEMBL6030	Homo sapiens	Residual activity	%	90.0
	3055438	CHEMBL1037131	Residual activity of EIF2AK3 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	100.0	CHEMBL6030	Homo sapiens	Residual activity	%	100.0
	3055690	CHEMBL1044299	Residual activity of EIF2AK3 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	256.0	CHEMBL6030	Homo sapiens	Residual activity	%	256.0
	3056995	CHEMBL1049468	Residual activity of EIF2AK3 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	102.0	CHEMBL6030	Homo sapiens	Residual activity	%	102.0
	3058315	CHEMBL1037131	Residual activity of EIF2AK3 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	102.0	CHEMBL6030	Homo sapiens	Residual activity	%	102.0
	3058567	CHEMBL1044299	Residual activity of EIF2AK3 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	239.0	CHEMBL6030	Homo sapiens	Residual activity	%	239.0
	3072913	CHEMBL1049468	Residual activity of EIF2AK3 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	101.0	CHEMBL6030	Homo sapiens	Residual activity	%	101.0
	3117944	CHEMBL1072220	Inhibition of PERK	B	CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)CC1		CHEMBL599224	>	IC50	nM	10000.0	CHEMBL6030	Homo sapiens	IC50	uM	10.0
	3117997	CHEMBL1072220	Inhibition of PERK	B	Cn1nc(C(N)=O)c2c1-c1nc(NC3CCN(C(=O)c4ccccc4)CC3)ncc1CC2		CHEMBL599428	>	IC50	nM	10000.0	CHEMBL6030	Homo sapiens	IC50	uM	10.0
	3118050	CHEMBL1072220	Inhibition of PERK	B	CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2		CHEMBL597754	>	IC50	nM	10000.0	CHEMBL6030	Homo sapiens	IC50	uM	10.0
	3214005	CHEMBL1116753	Inhibition of PEK at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O		CHEMBL1077739	=	Inhibition	%	4.0	CHEMBL6030	Homo sapiens	INH	%	4.0
Active	3334588	CHEMBL1168150	Induction of PERK-mediated phosphorylation of eIF2alpha in human Hep3B cells at 2 to 10 uM after 1 to 6 hrs by Western blot analysis	B	O=C1C(SCCO)=C(SCCO)C(=O)N1c1ccc(-c2ccccc2)cc1		CHEMBL1165659		Activity			CHEMBL6030	Homo sapiens	Activity		
Toxic	3334589	CHEMBL1168151	Induction of PERK-mediated phosphorylation of eIF2alpha in human Hep3B cells at 50 uM after 1 hr by Western blot analysis	B	O=C1C(SCCO)=C(SCCO)C(=O)N1c1ccc(-c2ccccc2)cc1		CHEMBL1165659		Activity			CHEMBL6030	Homo sapiens	Activity		
Not Active	3335679	CHEMBL1168150	Induction of PERK-mediated phosphorylation of eIF2alpha in human Hep3B cells at 2 to 10 uM after 1 to 6 hrs by Western blot analysis	B	CC(=O)Nc1ccc(N2C(=O)C(SCCO)=C(SCCO)C2=O)cc1		CHEMBL1163947		Activity			CHEMBL6030	Homo sapiens	Activity		
	3526967	CHEMBL1274177	Inhibition of PERK	B	NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1		CHEMBL1270230	>	IC50	nM	10000.0	CHEMBL6030	Homo sapiens	IC50	uM	10.0
Not Active	4517820	CHEMBL1614254	PUBCHEM_BIOASSAY: Counterscreen assay for PERK inhibitors: Dose response cell-based high throughput screening assay to measure inhibition of PERK at 6 hours. (Class of assay: confirmatory) [Related pubchem assays: 1522, 1416 ]	F	COc1cccc2c1C(CO)N1C(C#N)C3CC(C(=O)O)C(C1C2)N3C		CHEMBL1521681	>	EC50	nM	55700.0	CHEMBL6030	Homo sapiens	EC50	um	55.7
