activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2147305	CHEMBL921990	Activity of human MARK1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	106.0	CHEMBL5940	Homo sapiens	Activity	%	106.0
	2147305	CHEMBL921990	Activity of human MARK1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	106.0	CHEMBL5940	Homo sapiens	Activity	%	106.0
	2248255	CHEMBL1012702	Inhibition of MARK1 at 5 uM	B	O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1		CHEMBL183906	=	Inhibition	%	5.0	CHEMBL5940	Homo sapiens	INH	%	5.0
	2248256	CHEMBL1012702	Inhibition of MARK1 at 5 uM	B	CCCOc1ccc(/C=C2\SC(=O)NC2=O)cc1		CHEMBL84558	=	Inhibition	%	-6.0	CHEMBL5940	Homo sapiens	INH	%	-6.0
	2356985	CHEMBL958281	Inhibition of MARK1 at 1 uM relative to control	B	Cc1ccn(-c2ccc(-c3ncco3)cc2)c(=O)c1-c1ccc2nc(N)ncc2c1		CHEMBL525893	>	Inhibition	%	50.0	CHEMBL5940	Homo sapiens	INH	%	50.0
	2470260	CHEMBL987179	Inhibition of MARK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5940	Homo sapiens	INH	%	10.0
Not Evaluated	2476725	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL5940	Homo sapiens	Activity		
Not Evaluated	2478564	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5940	Homo sapiens	Activity		
	2478767	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755	=	Activity	%	15.5	CHEMBL5940	Homo sapiens	Activity	%	15.5
	2479550	CHEMBL988942	Binding affinity to human MARK1	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019	=	Kd	nM	207.0	CHEMBL5940	Homo sapiens	Kd	nM	207.0
	2479559	CHEMBL988942	Binding affinity to human MARK1	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337	=	Kd	nM	11000.0	CHEMBL5940	Homo sapiens	Kd	nM	11000.0
Not Evaluated	2479622	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL5940	Homo sapiens	Activity		
Not Evaluated	2479825	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167		Activity			CHEMBL5940	Homo sapiens	Activity		
Active	2480622	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409		Activity			CHEMBL5940	Homo sapiens	Activity		
	2480824	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878	=	Activity	%	17.5	CHEMBL5940	Homo sapiens	Activity	%	17.5
	2486599	CHEMBL994966	Inhibition of MARK	B	CCn1c2cc(Cl)c(O)cc2c(=O)c2c(=O)o[nH]c21		CHEMBL523823	>	Ki	nM	8440.0	CHEMBL5940	Homo sapiens	Ki	uM	8.44
	2567287	CHEMBL975474	Inhibition of human MARK1 kinase assessed as residual enzyme activity at 0.1 uM	B	CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c(C)n[nH]c1-4		CHEMBL223147	=	Activity	%	41.0	CHEMBL5940	Homo sapiens	Activity	%	41.0
Not Evaluated	2577243	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5940	Homo sapiens	Activity		
Not Evaluated	2577446	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337		Activity			CHEMBL5940	Homo sapiens	Activity		
Not Evaluated	2593651	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097		Activity			CHEMBL5940	Homo sapiens	Activity		
	2593917	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519	=	Activity	%	31.3	CHEMBL5940	Homo sapiens	Activity	%	31.3
Not Evaluated	2594120	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL5940	Homo sapiens	Activity		
Not Evaluated	2594860	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL5940	Homo sapiens	Activity		
Not Evaluated	2595063	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL5940	Homo sapiens	Activity		
Not Evaluated	2596260	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342		Activity			CHEMBL5940	Homo sapiens	Activity		
Not Evaluated	2596463	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019		Activity			CHEMBL5940	Homo sapiens	Activity		
Not Evaluated	2597732	CHEMBL982753	Binding affinity to human MARK1 at 10 uM relative to control	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454		Activity			CHEMBL5940	Homo sapiens	Activity		
	2721647	CHEMBL1057476	Inhibition of MARK1 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5940	Homo sapiens	INH	%	50.0
	2900380	CHEMBL1061905	Binding constant for MARK1 kinase domain	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5940	Homo sapiens	Kd	uM	10.0
	2900381	CHEMBL1061905	Binding constant for MARK1 kinase domain	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5940	Homo sapiens	Kd	uM	10.0
	2900382	CHEMBL1061905	Binding constant for MARK1 kinase domain	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	>	Kd	nM	10000.0	CHEMBL5940	Homo sapiens	Kd	uM	10.0
	2900383	CHEMBL1061905	Binding constant for MARK1 kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5940	Homo sapiens	Kd	uM	10.0
	2900384	CHEMBL1061905	Binding constant for MARK1 kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL5940	Homo sapiens	Kd	uM	10.0
	2900385	CHEMBL1061905	Binding constant for MARK1 kinase domain	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL5940	Homo sapiens	Kd	uM	10.0
	2900386	CHEMBL1061905	Binding constant for MARK1 kinase domain	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	=	Kd	nM	2300.0	CHEMBL5940	Homo sapiens	Kd	nM	2300.0
	2900387	CHEMBL1061905	Binding constant for MARK1 kinase domain	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL5940	Homo sapiens	Kd	uM	10.0
