activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1989399	CHEMBL899109	Inhibition of MASK	B	CC(C)NCc1ccc(Nc2cc(-c3ccc(-c4ccc(O)cc4O)cc3)[nH]n2)cc1		CHEMBL398606	=	IC50	nM	1850.0	CHEMBL5941	Homo sapiens	IC50	uM	1.85
	1989399	CHEMBL899109	Inhibition of MASK	B	CC(C)NCc1ccc(Nc2cc(-c3ccc(-c4ccc(O)cc4O)cc3)[nH]n2)cc1		CHEMBL398606	=	IC50	nM	1850.0	CHEMBL5941	Homo sapiens	IC50	uM	1.85
Not Evaluated	2149610	CHEMBL931307	Inhibition of human MST4	B	NC(=O)c1c(NC(=O)C2CC2)sc2c1CCCC2		CHEMBL379367		Activity			CHEMBL5941	Homo sapiens	Activity		
	2250951	CHEMBL1011044	Inhibition of MST4	B	Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1		CHEMBL524266	>	IC50	nM	4000.0	CHEMBL5941	Homo sapiens	IC50	uM	4.0
	2279710	CHEMBL960118	Inhibition of MST4	B	CN1CCCN(c2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1		CHEMBL493937	>	Kd	nM	10000.0	CHEMBL5941	Homo sapiens	Kd	uM	10.0
Not Active	2302218	CHEMBL938092	Inhibition of human MST4 at 10 uM	B	Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12		CHEMBL485246		Inhibition	%		CHEMBL5941	Homo sapiens	INH		
	2470285	CHEMBL987204	Inhibition of MST4 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5941	Homo sapiens	INH	%	10.0
	2476572	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167	=	Activity	%	7.8	CHEMBL5941	Homo sapiens	Activity	%	7.8
	2476775	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582	=	Activity	%	19.5	CHEMBL5941	Homo sapiens	Activity	%	19.5
Not Evaluated	2478614	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5941	Homo sapiens	Activity		
	2478817	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755	=	Activity	%	4.4	CHEMBL5941	Homo sapiens	Activity	%	4.4
Not Evaluated	2479672	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL5941	Homo sapiens	Activity		
	2480672	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409	=	Activity	%	17.2	CHEMBL5941	Homo sapiens	Activity	%	17.2
Not Evaluated	2577293	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5941	Homo sapiens	Activity		
Not Evaluated	2577496	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337		Activity			CHEMBL5941	Homo sapiens	Activity		
Not Evaluated	2593498	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878		Activity			CHEMBL5941	Homo sapiens	Activity		
Not Evaluated	2593701	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097		Activity			CHEMBL5941	Homo sapiens	Activity		
	2593967	CHEMBL992634	Binding affinity to human MST4 at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519	=	Activity	%	15.45	CHEMBL5941	Homo sapiens	Activity	%	15.45
