activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470236	CHEMBL984522	Inhibition of GCN2 Kin.Dom.2,S808G mutant at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5358	Homo sapiens	INH	%	10.0
	2470236	CHEMBL984522	Inhibition of GCN2 Kin.Dom.2,S808G mutant at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5358	Homo sapiens	INH	%	10.0
	2476592	CHEMBL993456	Binding affinity to human GCN2 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167	=	Activity	%	0.2	CHEMBL5358	Homo sapiens	Activity	%	0.2
Not Evaluated	2476795	CHEMBL993456	Binding affinity to human GCN2 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL5358	Homo sapiens	Activity		
Not Evaluated	2478634	CHEMBL993456	Binding affinity to human GCN2 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5358	Homo sapiens	Activity		
	2478837	CHEMBL993456	Binding affinity to human GCN2 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755	=	Activity	%	3.3	CHEMBL5358	Homo sapiens	Activity	%	3.3
	2479692	CHEMBL993456	Binding affinity to human GCN2 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312	=	Activity	%	1.7	CHEMBL5358	Homo sapiens	Activity	%	1.7
Active	2480691	CHEMBL993456	Binding affinity to human GCN2 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409		Activity			CHEMBL5358	Homo sapiens	Activity		
Not Evaluated	2577313	CHEMBL993456	Binding affinity to human GCN2 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5358	Homo sapiens	Activity		
	2577516	CHEMBL993456	Binding affinity to human GCN2 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337	=	Activity	%	23.25	CHEMBL5358	Homo sapiens	Activity	%	23.25
	2593518	CHEMBL993456	Binding affinity to human GCN2 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878	=	Activity	%	1.8	CHEMBL5358	Homo sapiens	Activity	%	1.8
