activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051650	CHEMBL941787	Inhibition of NLK	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1611.0	CHEMBL5364	Homo sapiens	Ki	uM	1.611
	2051650	CHEMBL941787	Inhibition of NLK	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1611.0	CHEMBL5364	Homo sapiens	Ki	uM	1.611
	2147330	CHEMBL922015	Activity of human NLK kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	104.0	CHEMBL5364	Homo sapiens	Activity	%	104.0
	2470298	CHEMBL987218	Inhibition of NLK at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5364	Homo sapiens	INH	%	10.0
Not Evaluated	2476749	CHEMBL982777	Binding affinity to human NLK at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL5364	Homo sapiens	Activity		
Not Evaluated	2478588	CHEMBL982777	Binding affinity to human NLK at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5364	Homo sapiens	Activity		
Not Evaluated	2478791	CHEMBL982777	Binding affinity to human NLK at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755		Activity			CHEMBL5364	Homo sapiens	Activity		
Not Evaluated	2479646	CHEMBL982777	Binding affinity to human NLK at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL5364	Homo sapiens	Activity		
Not Evaluated	2479849	CHEMBL982777	Binding affinity to human NLK at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167		Activity			CHEMBL5364	Homo sapiens	Activity		
Not Evaluated	2480646	CHEMBL982777	Binding affinity to human NLK at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409		Activity			CHEMBL5364	Homo sapiens	Activity		
Not Evaluated	2480848	CHEMBL982777	Binding affinity to human NLK at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878		Activity			CHEMBL5364	Homo sapiens	Activity		
Not Evaluated	2577267	CHEMBL982777	Binding affinity to human NLK at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5364	Homo sapiens	Activity		
	2577470	CHEMBL982777	Binding affinity to human NLK at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337	=	Activity	%	25.7	CHEMBL5364	Homo sapiens	Activity	%	25.7
	2593675	CHEMBL982777	Binding affinity to human NLK at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097	=	Activity	%	12.9	CHEMBL5364	Homo sapiens	Activity	%	12.9
