activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	3198596	CHEMBL1100132	Inhibition of PI4Kbeta at 1 uM	B	Cc1nc(N)ncc1-c1nc(N2CCOCC2)c2sc(C(C)(C)O)cc2n1		CHEMBL1085178		Inhibition	%		CHEMBL3268	Homo sapiens	INH		
Not Active	3198596	CHEMBL1100132	Inhibition of PI4Kbeta at 1 uM	B	Cc1nc(N)ncc1-c1nc(N2CCOCC2)c2sc(C(C)(C)O)cc2n1		CHEMBL1085178		Inhibition	%		CHEMBL3268	Homo sapiens	INH		
Not Active	3198599	CHEMBL1100132	Inhibition of PI4Kbeta at 1 uM	B	CC(C)(O)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1		CHEMBL1084926		Inhibition	%		CHEMBL3268	Homo sapiens	INH		
	3260856	CHEMBL1111811	Binding affinity to PIK4Cbeta	B	NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F		CHEMBL1090090	=	Kd	nM	3300.0	CHEMBL3268	Homo sapiens	Kd	uM	3.3
	3332095	CHEMBL1166806	Inhibition of PIK4CB at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL3268	Homo sapiens	INH	%	50.0
	3333510	CHEMBL1166806	Inhibition of PIK4CB at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL3268	Homo sapiens	INH	%	50.0
	3334915	CHEMBL1166806	Inhibition of PIK4CB at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL3268	Homo sapiens	INH	%	50.0
	3336335	CHEMBL1166806	Inhibition of PIK4CB at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL3268	Homo sapiens	INH	%	50.0
	3337614	CHEMBL1166806	Inhibition of PIK4CB at 1 uM	B	O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1		CHEMBL1163510	<	Inhibition	%	50.0	CHEMBL3268	Homo sapiens	INH	%	50.0
	3338945	CHEMBL1166806	Inhibition of PIK4CB at 1 uM	B	O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCCCC1		CHEMBL1163518	<	Inhibition	%	50.0	CHEMBL3268	Homo sapiens	INH	%	50.0
	3339199	CHEMBL1166806	Inhibition of PIK4CB at 1 uM	B	COC1CCN(C(=O)c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cc2)CC1		CHEMBL1163567	<	Inhibition	%	50.0	CHEMBL3268	Homo sapiens	INH	%	50.0
	3340502	CHEMBL1166806	Inhibition of PIK4CB at 1 uM	B	O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCC(N2CCCC2)CC1		CHEMBL1163559	<	Inhibition	%	50.0	CHEMBL3268	Homo sapiens	INH	%	50.0
	3341877	CHEMBL1166806	Inhibition of PIK4CB at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL3268	Homo sapiens	INH	%	50.0
