activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1034880	CHEMBL803492	Inhibition of Ribosomal S6 kinase 2 at 10 uM	B	COc1ccc(C2=C(Nc3cccc(Cl)c3)C(=O)NC2=O)cc1		CHEMBL158208	=	Inhibition	%	44.0	CHEMBL3111	Homo sapiens	Inhibition	%	44.0
	1034880	CHEMBL803492	Inhibition of Ribosomal S6 kinase 2 at 10 uM	B	COc1ccc(C2=C(Nc3cccc(Cl)c3)C(=O)NC2=O)cc1		CHEMBL158208	=	Inhibition	%	44.0	CHEMBL3111	Homo sapiens	Inhibition	%	44.0
	1036275	CHEMBL803492	Inhibition of Ribosomal S6 kinase 2 at 10 uM	B	O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1		CHEMBL322970	=	Inhibition	%	62.0	CHEMBL3111	Homo sapiens	Inhibition	%	62.0
	1048341	CHEMBL803492	Inhibition of Ribosomal S6 kinase 2 at 10 uM	B	COc1ccccc1C1=C(N2CCc3ccccc32)C(=O)NC1=O		CHEMBL160585	=	Inhibition	%	27.0	CHEMBL3111	Homo sapiens	Inhibition	%	27.0
	1055587	CHEMBL803492	Inhibition of Ribosomal S6 kinase 2 at 10 uM	B	O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(Cl)c(C(=O)O)c1		CHEMBL160586	=	Inhibition	%	27.0	CHEMBL3111	Homo sapiens	Inhibition	%	27.0
	1058273	CHEMBL803492	Inhibition of Ribosomal S6 kinase 2 at 10 uM	B	O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1ccc(Cl)c(C(=O)O)c1		CHEMBL156379	=	Inhibition	%	27.0	CHEMBL3111	Homo sapiens	Inhibition	%	27.0
	1481532	CHEMBL830066	In vitro inhibition of SR protein kinase 1 by compound dissolved in 100% DMSO using 5''-[gamma-33P]-triphosphate	B	COc1cc2nc(-c3cccs3)c(-c3cccs3)nc2cc1OC		CHEMBL373367	=	IC50	nM	16310.0	CHEMBL3111	Homo sapiens	IC50	uM	16.31
	1481659	CHEMBL830066	In vitro inhibition of SR protein kinase 1 by compound dissolved in 100% DMSO using 5''-[gamma-33P]-triphosphate	B	Oc1cc2nc(-c3cccs3)c(-c3cccs3)nc2cc1O		CHEMBL190039	=	IC50	nM	9610.0	CHEMBL3111	Homo sapiens	IC50	uM	9.61
	1481788	CHEMBL830066	In vitro inhibition of SR protein kinase 1 by compound dissolved in 100% DMSO using 5''-[gamma-33P]-triphosphate	B	c1csc(-c2nc3cc4c(cc3nc2-c2cccs2)OCO4)c1		CHEMBL189940	=	IC50	nM	28490.0	CHEMBL3111	Homo sapiens	IC50	uM	28.49
	1481809	CHEMBL830066	In vitro inhibition of SR protein kinase 1 by compound dissolved in 100% DMSO using 5''-[gamma-33P]-triphosphate	B	c1csc(-c2nc3cc4c(cc3nc2-c2cccs2)OCCO4)c1		CHEMBL192489	=	IC50	nM	23360.0	CHEMBL3111	Homo sapiens	IC50	uM	23.36
