activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1650693	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL4525	Homo sapiens	Kd		
Not Active	1650693	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL4525	Homo sapiens	Kd		
	1650694	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	=	Kd	nM	57.0	CHEMBL4525	Homo sapiens	Kd	uM	0.057
Not Active	1650695	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL4525	Homo sapiens	Kd		
	1650696	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	21.0	CHEMBL4525	Homo sapiens	Kd	uM	0.021
Not Active	1650697	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL4525	Homo sapiens	Kd		
Not Active	1650698	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829		Kd			CHEMBL4525	Homo sapiens	Kd		
Not Active	1650699	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336		Kd			CHEMBL4525	Homo sapiens	Kd		
Not Active	1650700	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762		Kd			CHEMBL4525	Homo sapiens	Kd		
Not Active	1650701	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690		Kd			CHEMBL4525	Homo sapiens	Kd		
	1651104	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	Kd	nM	23.0	CHEMBL4525	Homo sapiens	Kd	uM	0.023
Not Active	1651105	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041		Kd			CHEMBL4525	Homo sapiens	Kd		
Not Active	1651106	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10		Kd			CHEMBL4525	Homo sapiens	Kd		
Not Active	1651107	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385		Kd			CHEMBL4525	Homo sapiens	Kd		
Not Active	1651108	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667		Kd			CHEMBL4525	Homo sapiens	Kd		
	1651109	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	Oc1c2ccccc2c2c3c(cccc13)N=N2		CHEMBL1725279	=	Kd	nM	2100.0	CHEMBL4525	Homo sapiens	Kd	uM	2.1
	1651110	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	=	Kd	nM	2800.0	CHEMBL4525	Homo sapiens	Kd	uM	2.8
	1651111	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939	=	Kd	nM	2900.0	CHEMBL4525	Homo sapiens	Kd	uM	2.9
Not Active	1651112	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553		Kd			CHEMBL4525	Homo sapiens	Kd		
Not Active	1651113	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828		Kd			CHEMBL4525	Homo sapiens	Kd		
	1651114	CHEMBL859487	Average Binding Constant for STK17A; NA=Not Active at 10 uM	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	=	Kd	nM	3800.0	CHEMBL4525	Homo sapiens	Kd	uM	3.8
	2147238	CHEMBL922813	Activity of human DRAK1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	60.0	CHEMBL4525	Homo sapiens	Activity	%	60.0
	2206869	CHEMBL990544	Inhibition of STK17a	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	21.0	CHEMBL4525	Homo sapiens	Kd	nM	21.0
	2251209	CHEMBL1009907	Inhibition of DRAK1	B	O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1		CHEMBL495727	=	IC50	nM	10.0	CHEMBL4525	Homo sapiens	IC50	nM	10.0
