activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3332165	CHEMBL1167713	Inhibition of STK39 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL1163108	Homo sapiens	INH	%	50.0
	3332165	CHEMBL1167713	Inhibition of STK39 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL1163108	Homo sapiens	INH	%	50.0
	3333580	CHEMBL1167713	Inhibition of STK39 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL1163108	Homo sapiens	INH	%	50.0
	3334985	CHEMBL1167713	Inhibition of STK39 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL1163108	Homo sapiens	INH	%	50.0
	3336405	CHEMBL1167713	Inhibition of STK39 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL1163108	Homo sapiens	INH	%	50.0
	3340548	CHEMBL1167713	Inhibition of STK39 at 1 uM	B	O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCC(N2CCCC2)CC1		CHEMBL1163559	=	Inhibition	%	73.2	CHEMBL1163108	Homo sapiens	INH	%	73.2
	3341947	CHEMBL1167713	Inhibition of STK39 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL1163108	Homo sapiens	INH	%	50.0
	3343394	CHEMBL1167713	Inhibition of STK39 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL1163108	Homo sapiens	INH	%	50.0
	3351771	CHEMBL1175027	Inhibition of STK39 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	100.0	CHEMBL1163108	Homo sapiens	INH	%	100.0
	3358823	CHEMBL1175027	Inhibition of STK39 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	89.0	CHEMBL1163108	Homo sapiens	INH	%	89.0
	3448638	CHEMBL1244991	Binding affinity to STK39	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL1163108	Homo sapiens	Kd	uM	10.0
	3448795	CHEMBL1244991	Binding affinity to STK39	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	1100.0	CHEMBL1163108	Homo sapiens	Kd	nM	1100.0
	3449351	CHEMBL1244991	Binding affinity to STK39	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	140.0	CHEMBL1163108	Homo sapiens	Kd	nM	140.0
	3449865	CHEMBL1244991	Binding affinity to STK39	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL1163108	Homo sapiens	Kd	uM	10.0
	3450252	CHEMBL1244991	Binding affinity to STK39	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL1163108	Homo sapiens	Kd	uM	10.0
	3450871	CHEMBL1244991	Binding affinity to STK39	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL1163108	Homo sapiens	Kd	uM	10.0
	3451159	CHEMBL1244991	Binding affinity to STK39	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O		CHEMBL1240703	>	Kd	nM	10000.0	CHEMBL1163108	Homo sapiens	Kd	uM	10.0
	6340021	CHEMBL1827259	Activity of STK39 kinase at 1 uM	B	CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1		CHEMBL1822054	=	Activity	%	88.0	CHEMBL1163108	Homo sapiens	Activity	%	88.0
	7567471	CHEMBL1908768	Binding constant for STK39 kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL1163108	Homo sapiens	Kd	nM	10000.0
	7567488	CHEMBL1908768	Binding constant for STK39 kinase domain	B	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl		CHEMBL105442	>	Kd	nM	10000.0	CHEMBL1163108	Homo sapiens	Kd	nM	10000.0
	7567959	CHEMBL1908768	Binding constant for STK39 kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL180022	>	Kd	nM	10000.0	CHEMBL1163108	Homo sapiens	Kd	nM	10000.0
	7568427	CHEMBL1908768	Binding constant for STK39 kinase domain	B	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1		CHEMBL386051	>	Kd	nM	10000.0	CHEMBL1163108	Homo sapiens	Kd	nM	10000.0
