activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	1650324	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL4526	Homo sapiens	Kd		
Not Active	1650324	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554		Kd			CHEMBL4526	Homo sapiens	Kd		
	1650325	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	=	Kd	nM	4100.0	CHEMBL4526	Homo sapiens	Kd	uM	4.1
Not Active	1650326	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253		Kd			CHEMBL4526	Homo sapiens	Kd		
	1650327	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	2000.0	CHEMBL4526	Homo sapiens	Kd	uM	2.0
Not Active	1650328	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660		Kd			CHEMBL4526	Homo sapiens	Kd		
Not Active	1650329	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829		Kd			CHEMBL4526	Homo sapiens	Kd		
	1650330	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	=	Kd	nM	240.0	CHEMBL4526	Homo sapiens	Kd	uM	0.24
Not Active	1650331	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762		Kd			CHEMBL4526	Homo sapiens	Kd		
Not Active	1650332	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690		Kd			CHEMBL4526	Homo sapiens	Kd		
	1651489	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	Kd	nM	240.0	CHEMBL4526	Homo sapiens	Kd	uM	0.24
Not Active	1651490	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041		Kd			CHEMBL4526	Homo sapiens	Kd		
Not Active	1651491	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10		Kd			CHEMBL4526	Homo sapiens	Kd		
Not Active	1651492	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385		Kd			CHEMBL4526	Homo sapiens	Kd		
	1651493	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	=	Kd	nM	430.0	CHEMBL4526	Homo sapiens	Kd	uM	0.43
Not Active	1651494	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	Oc1c2ccccc2c2c3c(cccc13)N=N2		CHEMBL1725279		Kd			CHEMBL4526	Homo sapiens	Kd		
Not Active	1651495	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941		Kd			CHEMBL4526	Homo sapiens	Kd		
	1651496	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939	=	Kd	nM	1400.0	CHEMBL4526	Homo sapiens	Kd	uM	1.4
	1651497	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	=	Kd	nM	930.0	CHEMBL4526	Homo sapiens	Kd	uM	0.93
	1651498	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828	=	Kd	nM	65.0	CHEMBL4526	Homo sapiens	Kd	uM	0.065
	1651499	CHEMBL859486	Average Binding Constant for EPHA6; NA=Not Active at 10 uM	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	=	Kd	nM	72.0	CHEMBL4526	Homo sapiens	Kd	uM	0.072
	2206761	CHEMBL974028	Inhibition of EphA6	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	=	Kd	nM	930.0	CHEMBL4526	Homo sapiens	Kd	nM	930.0
	2206915	CHEMBL974028	Inhibition of EphA6	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	=	Kd	nM	240.0	CHEMBL4526	Homo sapiens	Kd	nM	240.0
