activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051679	CHEMBL941815	Inhibition of TBK1	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1525.0	CHEMBL5408	Homo sapiens	Ki	uM	1.525
	2051679	CHEMBL941815	Inhibition of TBK1	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1525.0	CHEMBL5408	Homo sapiens	Ki	uM	1.525
	2147399	CHEMBL922185	Activity of human TBK1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	100.0	CHEMBL5408	Homo sapiens	Activity	%	100.0
Not Active	2302222	CHEMBL938096	Inhibition of human TBK1 at 10 uM	B	Nc1ncnc2ncn(CC(=O)c3c[nH]c4ccccc34)c12		CHEMBL485246		Inhibition	%		CHEMBL5408	Homo sapiens	INH		
	2489767	CHEMBL1035610	Inhibition of TBK1 at 1 uM	B	COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1OC		CHEMBL479847	=	Inhibition	%	15.0	CHEMBL5408	Homo sapiens	INH	%	15.0
	2721731	CHEMBL1053576	Inhibition of TBK1 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5408	Homo sapiens	INH	%	50.0
Antagonist	2894762	CHEMBL1061112	Percentage TBK1 activity remaining in the presence of 0.01uM inhibitor	B	O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1		CHEMBL577784	=	Activity	%	7.0	CHEMBL5408	Homo sapiens	Activity	%	7.0
Antagonist	2894763	CHEMBL1052921	Percentage TBK1 activity remaining in the presence of 0.1uM inhibitor	B	O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1		CHEMBL577784	=	Activity	%	1.0	CHEMBL5408	Homo sapiens	Activity	%	1.0
Antagonist	2894764	CHEMBL1052123	Percentage TBK1 activity remaining in the presence of 10uM inhibitor	B	CC(C)(C(N)=O)C(=O)NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1Br		CHEMBL573108	=	Activity	%	5.0	CHEMBL5408	Homo sapiens	Activity	%	5.0
	2894765	CHEMBL1052123	Percentage TBK1 activity remaining in the presence of 10uM inhibitor	B	Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1		CHEMBL249697	=	Activity	%	93.0	CHEMBL5408	Homo sapiens	Activity	%	93.0
