activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	19108978	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL164	=	IC50	nM	700.0	CHEMBL4523488	Homo sapiens	IC50	uM	0.7
	19108978	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL164	=	IC50	nM	700.0	CHEMBL4523488	Homo sapiens	IC50	uM	0.7
	19108979	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL50	=	IC50	nM	700.0	CHEMBL4523488	Homo sapiens	IC50	uM	0.7
	19108980	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		CHEMBL151	=	IC50	nM	1300.0	CHEMBL4523488	Homo sapiens	IC50	uM	1.3
	19108981	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12		CHEMBL150	=	IC50	nM	2500.0	CHEMBL4523488	Homo sapiens	IC50	uM	2.5
	19108982	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12		CHEMBL28	=	IC50	nM	7100.0	CHEMBL4523488	Homo sapiens	IC50	uM	7.1
	19108983	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O		CHEMBL379064	=	IC50	nM	500.0	CHEMBL4523488	Homo sapiens	IC50	uM	0.5
	19108984	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O		CHEMBL90568	=	IC50	nM	900.0	CHEMBL4523488	Homo sapiens	IC50	uM	0.9
	19108985	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1		CHEMBL243664	=	IC50	nM	5700.0	CHEMBL4523488	Homo sapiens	IC50	uM	5.7
	19108986	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	O=c1cc(-c2ccc(O)c(O)c2)oc2cccc(O)c12		CHEMBL243677	=	IC50	nM	8000.0	CHEMBL4523488	Homo sapiens	IC50	uM	8.0
	19108987	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1		CHEMBL210635	=	IC50	nM	24000.0	CHEMBL4523488	Homo sapiens	IC50	uM	24.0
	19108988	CHEMBL4370053	Inhibition of human IP6K2 using insP6 as substrate preincubated for 15 mins followed by substrate and measured after 30 mins by TR-FRET assay	B	COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1		CHEMBL312163	=	IC50	nM	1800.0	CHEMBL4523488	Homo sapiens	IC50	uM	1.8
