activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2470413	CHEMBL981795	Inhibition of TLK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5388	Homo sapiens	INH	%	10.0
	2470413	CHEMBL981795	Inhibition of TLK1 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5388	Homo sapiens	INH	%	10.0
	2476587	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167	=	Activity	%	27.55	CHEMBL5388	Homo sapiens	Activity	%	27.55
Not Evaluated	2476790	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL5388	Homo sapiens	Activity		
Not Evaluated	2478629	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5388	Homo sapiens	Activity		
	2478832	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755	=	Activity	%	31.65	CHEMBL5388	Homo sapiens	Activity	%	31.65
Not Evaluated	2479687	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL5388	Homo sapiens	Activity		
	2480686	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409	=	Activity	%	0.75	CHEMBL5388	Homo sapiens	Activity	%	0.75
Not Evaluated	2577308	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5388	Homo sapiens	Activity		
Not Evaluated	2577511	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337		Activity			CHEMBL5388	Homo sapiens	Activity		
	2593513	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878	=	Activity	%	32.9	CHEMBL5388	Homo sapiens	Activity	%	32.9
Not Evaluated	2593716	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097		Activity			CHEMBL5388	Homo sapiens	Activity		
Not Evaluated	2593982	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519		Activity			CHEMBL5388	Homo sapiens	Activity		
Not Evaluated	2594925	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL5388	Homo sapiens	Activity		
Not Evaluated	2595128	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL5388	Homo sapiens	Activity		
Not Evaluated	2595194	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL5388	Homo sapiens	Activity		
Not Evaluated	2596325	CHEMBL993451	Binding affinity to human TLK1 at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342		Activity			CHEMBL5388	Homo sapiens	Activity		
