activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3052493	CHEMBL1072531	Residual activity of TAOK2 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	108.0	CHEMBL1075195	Homo sapiens	Residual activity	%	108.0
	3052493	CHEMBL1072531	Residual activity of TAOK2 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	108.0	CHEMBL1075195	Homo sapiens	Residual activity	%	108.0
	3052745	CHEMBL1043824	Residual activity of TAOK2 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	101.0	CHEMBL1075195	Homo sapiens	Residual activity	%	101.0
	3054054	CHEMBL1071983	Residual activity of TAOK2 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	129.0	CHEMBL1075195	Homo sapiens	Residual activity	%	129.0
	3055341	CHEMBL1072531	Residual activity of TAOK2 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	92.0	CHEMBL1075195	Homo sapiens	Residual activity	%	92.0
	3055593	CHEMBL1043824	Residual activity of TAOK2 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	97.0	CHEMBL1075195	Homo sapiens	Residual activity	%	97.0
	3056898	CHEMBL1071983	Residual activity of TAOK2 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	141.0	CHEMBL1075195	Homo sapiens	Residual activity	%	141.0
	3057150	CHEMBL1072531	Residual activity of TAOK2 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	102.0	CHEMBL1075195	Homo sapiens	Residual activity	%	102.0
	3058470	CHEMBL1043824	Residual activity of TAOK2 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	99.0	CHEMBL1075195	Homo sapiens	Residual activity	%	99.0
	3059754	CHEMBL1071983	Residual activity of TAOK2 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	122.0	CHEMBL1075195	Homo sapiens	Residual activity	%	122.0
