activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	1675255	CHEMBL867052	Inhibitory activity against ALK	B	CN1CCN(CCc2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1		CHEMBL199723	=	IC50	nM	400.0	CHEMBL4247	Homo sapiens	IC50	uM	0.4
	1675255	CHEMBL867052	Inhibitory activity against ALK	B	CN1CCN(CCc2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1		CHEMBL199723	=	IC50	nM	400.0	CHEMBL4247	Homo sapiens	IC50	uM	0.4
	1675257	CHEMBL867052	Inhibitory activity against ALK	B	CN1CCN(CCc2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1		CHEMBL199723	=	Ki	nM	200.0	CHEMBL4247	Homo sapiens	Ki	uM	0.2
	1675268	CHEMBL867052	Inhibitory activity against ALK	B	CN1CCN(Cc2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cn(C)c3=O)cc2)CC1		CHEMBL201277	>	IC50	nM	40000.0	CHEMBL4247	Homo sapiens	IC50	uM	40.0
	1675270	CHEMBL867052	Inhibitory activity against ALK	B	CN1CCN(Cc2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3Cl)cc2)CC1		CHEMBL199298	=	IC50	nM	26800.0	CHEMBL4247	Homo sapiens	IC50	uM	26.8
	1675272	CHEMBL867052	Inhibitory activity against ALK	B	COc1ncc(-c2ccc3c(c2)OCO3)cc1C(=O)Nc1ccc(CN2CCN(C)CC2)cc1		CHEMBL427188	=	IC50	nM	20300.0	CHEMBL4247	Homo sapiens	IC50	uM	20.3
	1675274	CHEMBL867052	Inhibitory activity against ALK	B	Cc1cc(CN2CCN(C)CC2)ccc1NC(=O)c1cc(-c2ccc3c(c2)OCO3)cnc1O		CHEMBL198399	=	IC50	nM	14500.0	CHEMBL4247	Homo sapiens	IC50	uM	14.5
	1675276	CHEMBL867052	Inhibitory activity against ALK	B	COc1cc(CN2CCN(C)CC2)ccc1NC(=O)c1cc(-c2ccc3c(c2)OCO3)cnc1O		CHEMBL201639	=	IC50	nM	13800.0	CHEMBL4247	Homo sapiens	IC50	uM	13.8
	1675279	CHEMBL867052	Inhibitory activity against ALK	B	CN1CCN(Cc2ccc(N(C)C(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1		CHEMBL201638	=	IC50	nM	3700.0	CHEMBL4247	Homo sapiens	IC50	uM	3.7
	1675281	CHEMBL867052	Inhibitory activity against ALK	B	CN1CCN(Cc2ccc(NC(=O)c3cc(-c4ccncc4)cnc3O)cc2)CC1		CHEMBL197652	=	IC50	nM	19500.0	CHEMBL4247	Homo sapiens	IC50	uM	19.5
Not Determined	1675282	CHEMBL867052	Inhibitory activity against ALK	B	CN1CCN(Cc2ccc(NC(=O)c3cc(-c4ccncc4)cnc3O)cc2)CC1		CHEMBL197652		Ki			CHEMBL4247	Homo sapiens	Ki		
	1675283	CHEMBL867052	Inhibitory activity against ALK	B	COc1cc(-c2cnc(O)c(C(=O)Nc3ccc(CN4CCN(C)CC4)cc3)c2)cc(OC)c1OC		CHEMBL202831	=	IC50	nM	7500.0	CHEMBL4247	Homo sapiens	IC50	uM	7.5
