activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051647	CHEMBL941784	Inhibition of MSSK1	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1736.0	CHEMBL5415	Homo sapiens	Ki	uM	1.736
	2051647	CHEMBL941784	Inhibition of MSSK1	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1736.0	CHEMBL5415	Homo sapiens	Ki	uM	1.736
	2147320	CHEMBL922005	Activity of human MSSK1 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	100.0	CHEMBL5415	Homo sapiens	Activity	%	100.0
	2470366	CHEMBL981748	Inhibition of SRPK3 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5415	Homo sapiens	INH	%	10.0
	2596908	CHEMBL1017925	Inhibition of SRPK3 assessed as enzyme activity relative to control	B	C[C@@H]1CCN(C(=O)CC#N)C[C@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL459977	=	Activity	%	33.0	CHEMBL5415	Homo sapiens	Activity	%	33.0
	2721660	CHEMBL1057491	Inhibition of MSSK1 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5415	Homo sapiens	INH	%	50.0
	2922005	CHEMBL1056155	Inhibition of SRPK3 assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	100.0	CHEMBL5415	Homo sapiens	Activity	%	100.0
	3052490	CHEMBL1072528	Residual activity of STK23 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	88.0	CHEMBL5415	Homo sapiens	Residual activity	%	88.0
	3052742	CHEMBL1043821	Residual activity of STK23 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	87.0	CHEMBL5415	Homo sapiens	Residual activity	%	87.0
	3054051	CHEMBL1071980	Residual activity of STK23 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	111.0	CHEMBL5415	Homo sapiens	Residual activity	%	111.0
	3055338	CHEMBL1072528	Residual activity of STK23 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	88.0	CHEMBL5415	Homo sapiens	Residual activity	%	88.0
	3055590	CHEMBL1043821	Residual activity of STK23 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	95.0	CHEMBL5415	Homo sapiens	Residual activity	%	95.0
	3056895	CHEMBL1071980	Residual activity of STK23 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	110.0	CHEMBL5415	Homo sapiens	Residual activity	%	110.0
	3057147	CHEMBL1072528	Residual activity of STK23 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	80.0	CHEMBL5415	Homo sapiens	Residual activity	%	80.0
	3058467	CHEMBL1043821	Residual activity of STK23 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	83.0	CHEMBL5415	Homo sapiens	Residual activity	%	83.0
	3059751	CHEMBL1071980	Residual activity of STK23 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	113.0	CHEMBL5415	Homo sapiens	Residual activity	%	113.0
	3066897	CHEMBL1066103	Inhibition of SRPK3 at 10 uM	B	CN1C(=O)/C(=C2/C(=O)Nc3ccccc32)c2ccccc21		CHEMBL607535	=	Inhibition	%	0.0	CHEMBL5415	Homo sapiens	INH	%	0.0
	3066987	CHEMBL1066103	Inhibition of SRPK3 at 10 uM	B	O=C1Nc2ccccc2/C1=C1\C(=O)N(CCCc2ccccc2)c2ccccc21		CHEMBL607196	=	Inhibition	%	7.0	CHEMBL5415	Homo sapiens	INH	%	7.0
	3213977	CHEMBL1116725	Inhibition of MSSK1 at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O		CHEMBL1077739	=	Inhibition	%	3.0	CHEMBL5415	Homo sapiens	INH	%	3.0
	3224970	CHEMBL1101774	Inhibition of MSSK1 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1cnc(CO)cn1		CHEMBL1081678	<	Inhibition	%	50.0	CHEMBL5415	Homo sapiens	INH	%	50.0
	3226349	CHEMBL1101774	Inhibition of MSSK1 at 10 uM	B	Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(CN(C)C)cc1		CHEMBL1078665	<	Inhibition	%	50.0	CHEMBL5415	Homo sapiens	INH	%	50.0
	3332160	CHEMBL1167708	Inhibition of SRPK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL5415	Homo sapiens	INH	%	50.0
	3333575	CHEMBL1167708	Inhibition of SRPK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL5415	Homo sapiens	INH	%	50.0
	3334980	CHEMBL1167708	Inhibition of SRPK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL5415	Homo sapiens	INH	%	50.0
	3336400	CHEMBL1167708	Inhibition of SRPK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL5415	Homo sapiens	INH	%	50.0
	3341942	CHEMBL1167708	Inhibition of SRPK3 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL5415	Homo sapiens	INH	%	50.0
	3343389	CHEMBL1167708	Inhibition of SRPK3 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL5415	Homo sapiens	INH	%	50.0
	3351766	CHEMBL1175022	Inhibition of SRPK3 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	11.0	CHEMBL5415	Homo sapiens	INH	%	11.0
	3358818	CHEMBL1175022	Inhibition of SRPK3 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	45.0	CHEMBL5415	Homo sapiens	INH	%	45.0
	3443532	CHEMBL1244298	Inhibition of MSSK1 at 1 uM after 60 mins by FRET assay in presence of 100 uM ATP	B	CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21		CHEMBL1241578	=	Inhibition	%	2.0	CHEMBL5415	Homo sapiens	INH	%	2.0
	3444904	CHEMBL1244298	Inhibition of MSSK1 at 1 uM after 60 mins by FRET assay in presence of 100 uM ATP	B	CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21		CHEMBL1233882	=	Inhibition	%	1.0	CHEMBL5415	Homo sapiens	INH	%	1.0
	3445311	CHEMBL1244298	Inhibition of MSSK1 at 1 uM after 60 mins by FRET assay in presence of 100 uM ATP	B	Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1		CHEMBL1081312	=	Inhibition	%	1.0	CHEMBL5415	Homo sapiens	INH	%	1.0
	3445528	CHEMBL1244298	Inhibition of MSSK1 at 1 uM after 60 mins by FRET assay in presence of 100 uM ATP	B	COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC		CHEMBL1233881	=	Inhibition	%	1.0	CHEMBL5415	Homo sapiens	INH	%	1.0
	3445745	CHEMBL1244298	Inhibition of MSSK1 at 1 uM after 60 mins by FRET assay in presence of 100 uM ATP	B	CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21		CHEMBL1241674	=	Inhibition	%	12.0	CHEMBL5415	Homo sapiens	INH	%	12.0
	3448633	CHEMBL1244986	Binding affinity to SRPK3	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	uM	10.0
	3448790	CHEMBL1244986	Binding affinity to SRPK3	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	13.0	CHEMBL5415	Homo sapiens	Kd	nM	13.0
	3449055	CHEMBL1244986	Binding affinity to SRPK3	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	=	Kd	nM	80.0	CHEMBL5415	Homo sapiens	Kd	nM	80.0
	3449348	CHEMBL1244986	Binding affinity to SRPK3	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	59.0	CHEMBL5415	Homo sapiens	Kd	nM	59.0
	3449515	CHEMBL1244986	Binding affinity to SRPK3	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O		CHEMBL1240703	=	Kd	nM	3500.0	CHEMBL5415	Homo sapiens	Kd	nM	3500.0
	3449860	CHEMBL1244986	Binding affinity to SRPK3	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	uM	10.0
	3450249	CHEMBL1244986	Binding affinity to SRPK3	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	uM	10.0
	3463365	CHEMBL1251698	Inhibition of STK23 at 1 uM in presence of 10 uM ATP by Select Screen kinase assay relative to untreated control	B	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12		CHEMBL379300	=	Inhibition	%	3.0	CHEMBL5415	Homo sapiens	INH	%	3.0
	3463909	CHEMBL1251698	Inhibition of STK23 at 1 uM in presence of 10 uM ATP by Select Screen kinase assay relative to untreated control	B	COc1ccccc1N1CCN(c2ncnc3[nH]nc(Br)c23)CC1		CHEMBL1254209	=	Inhibition	%	3.0	CHEMBL5415	Homo sapiens	INH	%	3.0
	3464128	CHEMBL1251698	Inhibition of STK23 at 1 uM in presence of 10 uM ATP by Select Screen kinase assay relative to untreated control	B	O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1		CHEMBL577784	=	Inhibition	%	6.0	CHEMBL5415	Homo sapiens	INH	%	6.0
	5121165	CHEMBL1646207	Inhibition of human MSSK1 at 10 uM after 60 mins by TR-FRET assay	B	S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1		CHEMBL1644616	=	Inhibition	%	121.0	CHEMBL5415	Homo sapiens	INH	%	121.0
	6340020	CHEMBL1827258	Activity of SRPK3 kinase at 1 uM	B	CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1		CHEMBL1822054	=	Activity	%	88.0	CHEMBL5415	Homo sapiens	Activity	%	88.0
	7567478	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7567495	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl		CHEMBL105442	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7567966	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL180022	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7568434	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1		CHEMBL386051	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7568866	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1		CHEMBL1721885	=	Kd	nM	120.0	CHEMBL5415	Homo sapiens	Kd	nM	120.0
	7569469	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7569941	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7570404	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1		CHEMBL450786	=	Kd	nM	1600.0	CHEMBL5415	Homo sapiens	Kd	nM	1600.0
	7570831	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	59.0	CHEMBL5415	Homo sapiens	Kd	nM	59.0
	7570985	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21		CHEMBL1614701	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7571442	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl		CHEMBL601719	=	Kd	nM	8200.0	CHEMBL5415	Homo sapiens	Kd	nM	8200.0
	7571918	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1		CHEMBL1789941	=	Kd	nM	3300.0	CHEMBL5415	Homo sapiens	Kd	nM	3300.0
	7572381	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1		CHEMBL573339	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7572797	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1		CHEMBL509032	=	Kd	nM	2900.0	CHEMBL5415	Homo sapiens	Kd	nM	2900.0
	7572966	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1		CHEMBL513909	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7573423	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7573899	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1.Cl		CHEMBL1908395	=	Kd	nM	6000.0	CHEMBL5415	Homo sapiens	Kd	nM	6000.0
	7574368	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	=	Kd	nM	80.0	CHEMBL5415	Homo sapiens	Kd	nM	80.0
	7574944	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1		CHEMBL502835	=	Kd	nM	12.0	CHEMBL5415	Homo sapiens	Kd	nM	12.0
	7575405	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	=	Kd	nM	8300.0	CHEMBL5415	Homo sapiens	Kd	nM	8300.0
	7575876	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)NC(C)c1nccs1		CHEMBL1908396	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7576307	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1		CHEMBL230011	=	Kd	nM	9300.0	CHEMBL5415	Homo sapiens	Kd	nM	9300.0
	7576918	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1		CHEMBL1173655	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7577377	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1		CHEMBL1230609	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7577883	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F		CHEMBL1230020	>	Kd	nM	10000.0	CHEMBL5415	Homo sapiens	Kd	nM	10000.0
	7578288	CHEMBL1908775	Binding constant for SRPK3 kinase domain	B	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1		CHEMBL1287853	=	Kd	nM	170.0	CHEMBL5415	Homo sapiens	Kd	nM	170.0
