activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	3331971	CHEMBL1166021	Inhibition of ICK at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL1163126	Homo sapiens	INH	%	50.0
	3331971	CHEMBL1166021	Inhibition of ICK at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL1163126	Homo sapiens	INH	%	50.0
	3333386	CHEMBL1166021	Inhibition of ICK at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL1163126	Homo sapiens	INH	%	50.0
	3334791	CHEMBL1166021	Inhibition of ICK at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL1163126	Homo sapiens	INH	%	50.0
	3336211	CHEMBL1166021	Inhibition of ICK at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL1163126	Homo sapiens	INH	%	50.0
	3340739	CHEMBL1166021	Inhibition of ICK at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL1163126	Homo sapiens	INH	%	50.0
	3342155	CHEMBL1166021	Inhibition of ICK at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL1163126	Homo sapiens	INH	%	50.0
	3358607	CHEMBL1174452	Inhibition of ICK at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	80.0	CHEMBL1163126	Homo sapiens	INH	%	80.0
	3359049	CHEMBL1174452	Inhibition of ICK at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	96.0	CHEMBL1163126	Homo sapiens	INH	%	96.0
	3445145	CHEMBL1244868	Binding affinity to ICK	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	39.0	CHEMBL1163126	Homo sapiens	Kd	nM	39.0
	3448456	CHEMBL1244868	Binding affinity to ICK	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	uM	10.0
	3448759	CHEMBL1244868	Binding affinity to ICK	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	uM	10.0
	3449219	CHEMBL1244868	Binding affinity to ICK	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	470.0	CHEMBL1163126	Homo sapiens	Kd	nM	470.0
	3449689	CHEMBL1244868	Binding affinity to ICK	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	uM	10.0
	3450096	CHEMBL1244868	Binding affinity to ICK	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	uM	10.0
	3451017	CHEMBL1244868	Binding affinity to ICK	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O		CHEMBL1240703	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	uM	10.0
	6231477	CHEMBL1786945	Inhibition of LCK2	B	O=C(c1ccco1)N1N=C(c2cccnc2)CC1c1ccccc1O		CHEMBL1779593	>	IC50	nM	10000.0	CHEMBL1163126	Homo sapiens	IC50	uM	10.0
	6339911	CHEMBL1826209	Activity of ICK kinase at 1 uM	B	CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1		CHEMBL1822054	=	Activity	%	67.0	CHEMBL1163126	Homo sapiens	Activity	%	67.0
	7567507	CHEMBL1908787	Binding constant for ICK kinase domain	B	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl		CHEMBL105442	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7567978	CHEMBL1908787	Binding constant for ICK kinase domain	B	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL180022	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7568446	CHEMBL1908787	Binding constant for ICK kinase domain	B	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1		CHEMBL386051	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7568878	CHEMBL1908787	Binding constant for ICK kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1		CHEMBL1721885	=	Kd	nM	1200.0	CHEMBL1163126	Homo sapiens	Kd	nM	1200.0
	7569021	CHEMBL1908787	Binding constant for ICK kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7569481	CHEMBL1908787	Binding constant for ICK kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7569953	CHEMBL1908787	Binding constant for ICK kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7570416	CHEMBL1908787	Binding constant for ICK kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1		CHEMBL450786	=	Kd	nM	400.0	CHEMBL1163126	Homo sapiens	Kd	nM	400.0
	7570843	CHEMBL1908787	Binding constant for ICK kinase domain	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	=	Kd	nM	470.0	CHEMBL1163126	Homo sapiens	Kd	nM	470.0
	7570997	CHEMBL1908787	Binding constant for ICK kinase domain	B	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21		CHEMBL1614701	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7571454	CHEMBL1908787	Binding constant for ICK kinase domain	B	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl		CHEMBL601719	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7571930	CHEMBL1908787	Binding constant for ICK kinase domain	B	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1		CHEMBL1789941	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7572393	CHEMBL1908787	Binding constant for ICK kinase domain	B	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1		CHEMBL573339	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7572809	CHEMBL1908787	Binding constant for ICK kinase domain	B	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1		CHEMBL509032	=	Kd	nM	4000.0	CHEMBL1163126	Homo sapiens	Kd	nM	4000.0
	7572978	CHEMBL1908787	Binding constant for ICK kinase domain	B	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1		CHEMBL513909	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7573435	CHEMBL1908787	Binding constant for ICK kinase domain	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7573911	CHEMBL1908787	Binding constant for ICK kinase domain	B	CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1.Cl		CHEMBL1908395	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7574956	CHEMBL1908787	Binding constant for ICK kinase domain	B	COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1		CHEMBL502835	=	Kd	nM	1700.0	CHEMBL1163126	Homo sapiens	Kd	nM	1700.0
	7575417	CHEMBL1908787	Binding constant for ICK kinase domain	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7575888	CHEMBL1908787	Binding constant for ICK kinase domain	B	COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)NC(C)c1nccs1		CHEMBL1908396	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7575911	CHEMBL1908787	Binding constant for ICK kinase domain	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	=	Kd	nM	5900.0	CHEMBL1163126	Homo sapiens	Kd	nM	5900.0
	7576319	CHEMBL1908787	Binding constant for ICK kinase domain	B	Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1		CHEMBL230011	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7576930	CHEMBL1908787	Binding constant for ICK kinase domain	B	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1		CHEMBL1173655	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7577389	CHEMBL1908787	Binding constant for ICK kinase domain	B	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1		CHEMBL1230609	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7577895	CHEMBL1908787	Binding constant for ICK kinase domain	B	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F		CHEMBL1230020	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7578300	CHEMBL1908787	Binding constant for ICK kinase domain	B	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1		CHEMBL1287853	=	Kd	nM	1900.0	CHEMBL1163126	Homo sapiens	Kd	nM	1900.0
	7578938	CHEMBL1908787	Binding constant for ICK kinase domain	B	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12		CHEMBL379218	=	Kd	nM	550.0	CHEMBL1163126	Homo sapiens	Kd	nM	550.0
	7579312	CHEMBL1908787	Binding constant for ICK kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7579762	CHEMBL1908787	Binding constant for ICK kinase domain	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690	=	Kd	nM	0.69	CHEMBL1163126	Homo sapiens	Kd	nM	0.69
	7579794	CHEMBL1908787	Binding constant for ICK kinase domain	B	O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1		CHEMBL1908397	=	Kd	nM	2200.0	CHEMBL1163126	Homo sapiens	Kd	nM	2200.0
	7580263	CHEMBL1908787	Binding constant for ICK kinase domain	B	CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21		CHEMBL1241674	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
	7580666	CHEMBL1908787	Binding constant for ICK kinase domain	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828	>	Kd	nM	10000.0	CHEMBL1163126	Homo sapiens	Kd	nM	10000.0
