activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	8003540	CHEMBL1942475	Inhibition of human PIP5K3 in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1940980	<	Inhibition	%	35.0	CHEMBL1938222	Homo sapiens	INH	%	35.0
	8003540	CHEMBL1942475	Inhibition of human PIP5K3 in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1940980	<	Inhibition	%	35.0	CHEMBL1938222	Homo sapiens	INH	%	35.0
	8003541	CHEMBL1942475	Inhibition of human PIP5K3 in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23		CHEMBL1940981	<	Inhibition	%	35.0	CHEMBL1938222	Homo sapiens	INH	%	35.0
	8003542	CHEMBL1942475	Inhibition of human PIP5K3 in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1940987	<	Inhibition	%	35.0	CHEMBL1938222	Homo sapiens	INH	%	35.0
	8003543	CHEMBL1942475	Inhibition of human PIP5K3 in HL-60 cells lysate assessed as reduction of labeling of acyl-phosphate ATP probe at 100 nM	B	C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23		CHEMBL1940990	<	Inhibition	%	35.0	CHEMBL1938222	Homo sapiens	INH	%	35.0
	18114790	CHEMBL4025320	Inhibition of wild-type human partial length PIKFYVE (F1512 to C2098 residues) expressed in mammalian expression system assessed as residual activity at 1 uM by Kinomescan method relative to control	B	C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCOCC1		CHEMBL4077123	=	Activity	%	96.0	CHEMBL1938222	Homo sapiens	Activity	%	96.0
	18153239	CHEMBL4034460	Inhibition of PIP5K3 ATP binding site (unknown origin) at 10 uM	B	c1cc(-c2c[nH]c3cnccc23)ccn1		CHEMBL4084955	>	Inhibition	%	35.0	CHEMBL1938222	Homo sapiens	INH	%	35.0
	18203844	CHEMBL4044131	Inhibition of wild-type human partial length PIKFYVE (F1512 to C2098 residues) expressed in HEK293 cells assessed as residual activity at 1000 nM after 30 mins by Kinomescan method relative to control	B	COc1cc(OC)c(Cl)c(N2Cc3cnc(Nc4ccc(F)cc4)nc3N(C3CCN(C(=O)/C=C/CN(C)C)CC3)C2=O)c1Cl		CHEMBL4092508	=	Activity	%	95.0	CHEMBL1938222	Homo sapiens	Activity	%	95.0
	18211708	CHEMBL4045804	Inhibition of PIP5K3 ATP binding site (GGKSGAAFYATEDDRFILK) in human PBMC at 1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1		CHEMBL3971067	=	Inhibition	%	-9.2	CHEMBL1938222	Homo sapiens	INH	%	-9.2
	18211949	CHEMBL4046045	Inhibition of PIP5K3 ATP binding site (GGKSGAAFYATEDDRFILK) in human PBMC at 0.1 uM	B	CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1	Outside typical range	CHEMBL3971067	=	Inhibition	%	-33.6	CHEMBL1938222	Homo sapiens	INH	%	-33.6
	18275226	CHEMBL4118454	Inhibition of PIP5K3 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled GGKSGAAFYATEDDRFILK probe by mass-spectrometric analysis relative to control	B	C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1Cl		CHEMBL3883384	=	Inhibition	%	61.5	CHEMBL1938222	Homo sapiens	INH	%	61.5
	18275227	CHEMBL4118454	Inhibition of PIP5K3 in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled GGKSGAAFYATEDDRFILK probe by mass-spectrometric analysis relative to control	B	C=CC(=O)Nc1ccccc1Oc1nc(Nc2cnn(CCOC)c2)ncc1Cl		CHEMBL3884839	=	Inhibition	%	54.1	CHEMBL1938222	Homo sapiens	INH	%	54.1
