activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2928491	CHEMBL1043883	Binding affinity to QSK assessed as percentage of kinase remaining bound to the bead at 1 uM by T7 phage display based binding assay	B	COc1ccccc1-n1c(-c2cc(O)ccc2C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12		CHEMBL566515	=	Activity	%	32.0	CHEMBL6149	Homo sapiens	Activity	%	32.0
	2928491	CHEMBL1043883	Binding affinity to QSK assessed as percentage of kinase remaining bound to the bead at 1 uM by T7 phage display based binding assay	B	COc1ccccc1-n1c(-c2cc(O)ccc2C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12		CHEMBL566515	=	Activity	%	32.0	CHEMBL6149	Homo sapiens	Activity	%	32.0
	3332123	CHEMBL1166834	Inhibition of QSK at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL6149	Homo sapiens	INH	%	50.0
	3333538	CHEMBL1166834	Inhibition of QSK at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL6149	Homo sapiens	INH	%	50.0
	3334943	CHEMBL1166834	Inhibition of QSK at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL6149	Homo sapiens	INH	%	50.0
	3336363	CHEMBL1166834	Inhibition of QSK at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL6149	Homo sapiens	INH	%	50.0
	3341905	CHEMBL1166834	Inhibition of QSK at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL6149	Homo sapiens	INH	%	50.0
	3343352	CHEMBL1166834	Inhibition of QSK at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL6149	Homo sapiens	INH	%	50.0
	3358778	CHEMBL1175244	Inhibition of QSK at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	70.0	CHEMBL6149	Homo sapiens	INH	%	70.0
	3359220	CHEMBL1175244	Inhibition of QSK at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	77.0	CHEMBL6149	Homo sapiens	INH	%	77.0
	3445277	CHEMBL1244949	Binding affinity to QSK	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	120.0	CHEMBL6149	Homo sapiens	Kd	nM	120.0
	3448596	CHEMBL1244949	Binding affinity to QSK	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	uM	10.0
	3449030	CHEMBL1244949	Binding affinity to QSK	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	=	Kd	nM	98.0	CHEMBL6149	Homo sapiens	Kd	nM	98.0
	3449317	CHEMBL1244949	Binding affinity to QSK	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O		CHEMBL1240703	=	Kd	nM	230.0	CHEMBL6149	Homo sapiens	Kd	nM	230.0
	3449827	CHEMBL1244949	Binding affinity to QSK	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	uM	10.0
	3450221	CHEMBL1244949	Binding affinity to QSK	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	uM	10.0
	3450409	CHEMBL1244949	Binding affinity to QSK	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	uM	10.0
	6341122	CHEMBL1826694	Activity of QSK kinase at 1 uM	B	CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1		CHEMBL1822054	=	Activity	%	100.0	CHEMBL6149	Homo sapiens	Activity	%	100.0
	7567168	CHEMBL1908471	Binding constant for QSK kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7567627	CHEMBL1908471	Binding constant for QSK kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7568098	CHEMBL1908471	Binding constant for QSK kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7568566	CHEMBL1908471	Binding constant for QSK kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1		CHEMBL450786	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7568998	CHEMBL1908471	Binding constant for QSK kinase domain	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7569141	CHEMBL1908471	Binding constant for QSK kinase domain	B	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21		CHEMBL1614701	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7569601	CHEMBL1908471	Binding constant for QSK kinase domain	B	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl		CHEMBL601719	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7570073	CHEMBL1908471	Binding constant for QSK kinase domain	B	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1		CHEMBL1789941	=	Kd	nM	1300.0	CHEMBL6149	Homo sapiens	Kd	nM	1300.0
	7571117	CHEMBL1908471	Binding constant for QSK kinase domain	B	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1		CHEMBL513909	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7571574	CHEMBL1908471	Binding constant for QSK kinase domain	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	=	Kd	nM	28.0	CHEMBL6149	Homo sapiens	Kd	nM	28.0
	7572050	CHEMBL1908471	Binding constant for QSK kinase domain	B	CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1.Cl		CHEMBL1908395	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7572071	CHEMBL1908471	Binding constant for QSK kinase domain	B	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1		CHEMBL573339	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7572487	CHEMBL1908471	Binding constant for QSK kinase domain	B	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1		CHEMBL509032	=	Kd	nM	1300.0	CHEMBL6149	Homo sapiens	Kd	nM	1300.0
	7573098	CHEMBL1908471	Binding constant for QSK kinase domain	B	COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1		CHEMBL502835	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7573555	CHEMBL1908471	Binding constant for QSK kinase domain	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
	7574058	CHEMBL1908471	Binding constant for QSK kinase domain	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	=	Kd	nM	98.0	CHEMBL6149	Homo sapiens	Kd	nM	98.0
	7574466	CHEMBL1908471	Binding constant for QSK kinase domain	B	Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1		CHEMBL230011	>	Kd	nM	10000.0	CHEMBL6149	Homo sapiens	Kd	nM	10000.0
