activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
Not Active	2990112	CHEMBL1046146	Inhibition of MAPK3K2 at 3 uM	B	Fc1cc(-c2cc[nH]/c(=N/c3ccc(-n4cnc(N5CCOCC5)n4)cc3)n2)cc(N2CCOCC2)c1		CHEMBL585951		Activity			CHEMBL5914	Homo sapiens	Activity		
Not Active	2990112	CHEMBL1046146	Inhibition of MAPK3K2 at 3 uM	B	Fc1cc(-c2cc[nH]/c(=N/c3ccc(-n4cnc(N5CCOCC5)n4)cc3)n2)cc(N2CCOCC2)c1		CHEMBL585951		Activity			CHEMBL5914	Homo sapiens	Activity		
	3213952	CHEMBL1116700	Inhibition of MAP3K2 at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O	Outside typical range	CHEMBL1077739	=	Inhibition	%	-11.0	CHEMBL5914	Homo sapiens	INH	%	-11.0
	3332007	CHEMBL1166057	Inhibition of MAP3K2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL5914	Homo sapiens	INH	%	50.0
	3333422	CHEMBL1166057	Inhibition of MAP3K2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	=	Inhibition	%	74.0	CHEMBL5914	Homo sapiens	INH	%	74.0
	3334827	CHEMBL1166057	Inhibition of MAP3K2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL5914	Homo sapiens	INH	%	50.0
	3336247	CHEMBL1166057	Inhibition of MAP3K2 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL5914	Homo sapiens	INH	%	50.0
	3341789	CHEMBL1166057	Inhibition of MAP3K2 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	=	Inhibition	%	93.0	CHEMBL5914	Homo sapiens	INH	%	93.0
	3343236	CHEMBL1166057	Inhibition of MAP3K2 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	=	Inhibition	%	81.0	CHEMBL5914	Homo sapiens	INH	%	81.0
	3358648	CHEMBL1174890	Inhibition of MAP3K2 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	0.15	CHEMBL5914	Homo sapiens	INH	%	0.15
	3359090	CHEMBL1174890	Inhibition of MAP3K2 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	0.1	CHEMBL5914	Homo sapiens	INH	%	0.1
	3445179	CHEMBL1244491	Binding affinity to MAP3K2	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	4.8	CHEMBL5914	Homo sapiens	Kd	nM	4.8
Not Active	3446217	CHEMBL1244357	Inhibition of MAP3K2	B	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl		CHEMBL288441		IC50			CHEMBL5914	Homo sapiens	IC50		
