activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2051685	CHEMBL941821	Inhibition of WNK2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1518.0	CHEMBL5639	Homo sapiens	Ki	uM	1.518
	2051685	CHEMBL941821	Inhibition of WNK2	B	N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2		CHEMBL248757	>	Ki	nM	1518.0	CHEMBL5639	Homo sapiens	Ki	uM	1.518
	2147405	CHEMBL923161	Activity of human WNK2 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	109.0	CHEMBL5639	Homo sapiens	Activity	%	109.0
	2721737	CHEMBL1053582	Inhibition of WNK2 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5639	Homo sapiens	INH	%	50.0
	3052512	CHEMBL1047763	Residual activity of WNK2 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	87.0	CHEMBL5639	Homo sapiens	Residual activity	%	87.0
	3052764	CHEMBL1043843	Residual activity of WNK2 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	53.0	CHEMBL5639	Homo sapiens	Residual activity	%	53.0
	3054073	CHEMBL1073372	Residual activity of WNK2 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL604483	=	Residual activity	%	27.0	CHEMBL5639	Homo sapiens	Residual activity	%	27.0
	3055360	CHEMBL1047763	Residual activity of WNK2 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	74.0	CHEMBL5639	Homo sapiens	Residual activity	%	74.0
	3055612	CHEMBL1043843	Residual activity of WNK2 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	25.0	CHEMBL5639	Homo sapiens	Residual activity	%	25.0
	3056917	CHEMBL1073372	Residual activity of WNK2 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1		CHEMBL595143	=	Residual activity	%	12.0	CHEMBL5639	Homo sapiens	Residual activity	%	12.0
	3058237	CHEMBL1047763	Residual activity of WNK2 at 0.1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	81.0	CHEMBL5639	Homo sapiens	Residual activity	%	81.0
	3058489	CHEMBL1043843	Residual activity of WNK2 at 1 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	34.0	CHEMBL5639	Homo sapiens	Residual activity	%	34.0
	3059773	CHEMBL1073372	Residual activity of WNK2 at 10 uM by microplate scintillation counting	B	COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1		CHEMBL595373	=	Residual activity	%	6.0	CHEMBL5639	Homo sapiens	Residual activity	%	6.0
	3345490	CHEMBL1166280	Inhibition of GST-tagged human recombinant WNK2 at 20 uM	B	COc1cc(C(=O)OCCCCCCOC(=O)c2ccc(O)c(OC)c2)ccc1O		CHEMBL1164563	>	Inhibition	%	50.0	CHEMBL5639	Homo sapiens	INH	%	50.0
	5120411	CHEMBL1646678	Inhibition of human WNK2 at 10 uM after 60 mins by TR-FRET assay	B	S=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1		CHEMBL1644616	=	Inhibition	%	108.0	CHEMBL5639	Homo sapiens	INH	%	108.0
	6385688	CHEMBL1838137	Inhibition of human Wnk2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1		CHEMBL1834114	<	Inhibition	%	35.0	CHEMBL5639	Homo sapiens	INH	%	35.0
	6385689	CHEMBL1838137	Inhibition of human Wnk2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCNc2ccccn2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CCCC1		CHEMBL1834318	<	Inhibition	%	35.0	CHEMBL5639	Homo sapiens	INH	%	35.0
	6385690	CHEMBL1838137	Inhibition of human Wnk2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1834323	<	Inhibition	%	35.0	CHEMBL5639	Homo sapiens	INH	%	35.0
	6385691	CHEMBL1838137	Inhibition of human Wnk2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	CC(C)[C@@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23		CHEMBL1834324	<	Inhibition	%	35.0	CHEMBL5639	Homo sapiens	INH	%	35.0
	6385692	CHEMBL1838137	Inhibition of human Wnk2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control	B	Nc1c(F)c(NCCNc2ccccn2)c2c3c1c(=O)c(C(=O)O)cn3C1(CCCC1)CO2		CHEMBL1834330	<	Inhibition	%	35.0	CHEMBL5639	Homo sapiens	INH	%	35.0
	7961175	CHEMBL1931569	Inhibition of WNK2	B	CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O		CHEMBL1929238	>	IC50	nM	30000.0	CHEMBL5639	Homo sapiens	IC50	uM	30.0
	7961176	CHEMBL1931569	Inhibition of WNK2	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	IC50	nM	30000.0	CHEMBL5639	Homo sapiens	IC50	uM	30.0
	12116223	CHEMBL2174224	Inhibition of WNK2	B	Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21		CHEMBL2171124	=	IC50	nM	3892.0	CHEMBL5639	Homo sapiens	IC50	nM	3892.0
	12278750	CHEMBL2219327	Millipore: Percentage of residual kinase activity of WNK2 at 1uM relative to control. Control inhibitor: Phosphoric acid* at 0.3uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA	B	CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O		CHEMBL2218926	=	Residual Activity	%	114.0	CHEMBL5639	Homo sapiens	Residual Activity	%	114.0
