activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	15186296	CHEMBL3405855	Binding affinity to histidine-tagged human recombinant COL4A3ABP containing CERT START domain pre-incubated for 30 mins before biotinylated ceramide probe addition and measured after 18 hrs post probe addition by TR-FRET binding assay	B	CCCCCCCCCCCC(=O)N[C@H](CO)C[C@H](O)c1ccccc1		CHEMBL3401790	=	EC50	nM	25000.0	CHEMBL3399913	Homo sapiens	EC50	uM	25.0
	15186296	CHEMBL3405855	Binding affinity to histidine-tagged human recombinant COL4A3ABP containing CERT START domain pre-incubated for 30 mins before biotinylated ceramide probe addition and measured after 18 hrs post probe addition by TR-FRET binding assay	B	CCCCCCCCCCCC(=O)N[C@H](CO)C[C@H](O)c1ccccc1		CHEMBL3401790	=	EC50	nM	25000.0	CHEMBL3399913	Homo sapiens	EC50	uM	25.0
	15186297	CHEMBL3405855	Binding affinity to histidine-tagged human recombinant COL4A3ABP containing CERT START domain pre-incubated for 30 mins before biotinylated ceramide probe addition and measured after 18 hrs post probe addition by TR-FRET binding assay	B	CCCCCCCCCCCC(=O)N[C@H](CO)C[C@@H](O)c1ccccc1	Outside typical range	CHEMBL3401791	=	EC50	nM	159000.0	CHEMBL3399913	Homo sapiens	EC50	uM	159.0
	15186298	CHEMBL3405855	Binding affinity to histidine-tagged human recombinant COL4A3ABP containing CERT START domain pre-incubated for 30 mins before biotinylated ceramide probe addition and measured after 18 hrs post probe addition by TR-FRET binding assay	B	CCCCCCCCCCCC(=O)N[C@@H](CO)C[C@@H](O)c1ccccc1		CHEMBL122892	=	EC50	nM	22000.0	CHEMBL3399913	Homo sapiens	EC50	uM	22.0
	15186299	CHEMBL3405855	Binding affinity to histidine-tagged human recombinant COL4A3ABP containing CERT START domain pre-incubated for 30 mins before biotinylated ceramide probe addition and measured after 18 hrs post probe addition by TR-FRET binding assay	B	CCCCCCCCCCCC(=O)N[C@@H](CO)C[C@H](O)c1ccccc1		CHEMBL3401792	=	EC50	nM	4000.0	CHEMBL3399913	Homo sapiens	EC50	uM	4.0
	17977814	CHEMBL3997499	Inhibition of fluorescent ceramide probe binding to recombinant His-tagged START domain of CERT (unknown origin) assessed as bound fluorescent ceramide probe level at 200 pmol preincubated for 30 mins followed by ceramide probe addition after 30 mins by FLINT assay (Rvb = 28.4 +/- 2.75%)	B	CCCCCCCCCCCC(=O)N[C@@H](CO)C[C@H](O)c1ccccc1		CHEMBL3401792	=	Activity	%	25.5	CHEMBL3399913	Homo sapiens	Activity	%	25.5
	17977815	CHEMBL3997499	Inhibition of fluorescent ceramide probe binding to recombinant His-tagged START domain of CERT (unknown origin) assessed as bound fluorescent ceramide probe level at 200 pmol preincubated for 30 mins followed by ceramide probe addition after 30 mins by FLINT assay (Rvb = 28.4 +/- 2.75%)	B	CCCCCCCCCCCCO[C@@H]1CNC[C@@H](O)[C@@H]1O		CHEMBL4064132	=	Activity	%	61.3	CHEMBL3399913	Homo sapiens	Activity	%	61.3
	17977816	CHEMBL3997499	Inhibition of fluorescent ceramide probe binding to recombinant His-tagged START domain of CERT (unknown origin) assessed as bound fluorescent ceramide probe level at 200 pmol preincubated for 30 mins followed by ceramide probe addition after 30 mins by FLINT assay (Rvb = 28.4 +/- 2.75%)	B	CCCCCCCCCCCCO[C@@H]1CN(CCCCCCCCCCCC)C[C@@H](O)[C@@H]1O		CHEMBL4085698	=	Activity	%	54.3	CHEMBL3399913	Homo sapiens	Activity	%	54.3
	17977817	CHEMBL3997499	Inhibition of fluorescent ceramide probe binding to recombinant His-tagged START domain of CERT (unknown origin) assessed as bound fluorescent ceramide probe level at 200 pmol preincubated for 30 mins followed by ceramide probe addition after 30 mins by FLINT assay (Rvb = 28.4 +/- 2.75%)	B	CCCCCCCCCCCCO[C@H]1CNC[C@@H](O)[C@@H]1O		CHEMBL4102108	=	Activity	%	41.0	CHEMBL3399913	Homo sapiens	Activity	%	41.0
	17977818	CHEMBL3997499	Inhibition of fluorescent ceramide probe binding to recombinant His-tagged START domain of CERT (unknown origin) assessed as bound fluorescent ceramide probe level at 200 pmol preincubated for 30 mins followed by ceramide probe addition after 30 mins by FLINT assay (Rvb = 28.4 +/- 2.75%)	B	CCCCCCCCCCCCO[C@H]1CN(CCCCCCCCCCCC)C[C@@H](O)[C@@H]1O		CHEMBL4077846	=	Activity	%	30.1	CHEMBL3399913	Homo sapiens	Activity	%	30.1
	17977819	CHEMBL3997499	Inhibition of fluorescent ceramide probe binding to recombinant His-tagged START domain of CERT (unknown origin) assessed as bound fluorescent ceramide probe level at 200 pmol preincubated for 30 mins followed by ceramide probe addition after 30 mins by FLINT assay (Rvb = 28.4 +/- 2.75%)	B	CCCCCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)C1		CHEMBL4105463	=	Activity	%	48.0	CHEMBL3399913	Homo sapiens	Activity	%	48.0
	17977820	CHEMBL3997499	Inhibition of fluorescent ceramide probe binding to recombinant His-tagged START domain of CERT (unknown origin) assessed as bound fluorescent ceramide probe level at 200 pmol preincubated for 30 mins followed by ceramide probe addition after 30 mins by FLINT assay (Rvb = 28.4 +/- 2.75%)	B	CCCCCCCCCCCCO[C@H]1CNC[C@@H](OCCCCCCCCCCCC)[C@@H]1O		CHEMBL4081214	=	Activity	%	51.1	CHEMBL3399913	Homo sapiens	Activity	%	51.1
	17977821	CHEMBL3997499	Inhibition of fluorescent ceramide probe binding to recombinant His-tagged START domain of CERT (unknown origin) assessed as bound fluorescent ceramide probe level at 200 pmol preincubated for 30 mins followed by ceramide probe addition after 30 mins by FLINT assay (Rvb = 28.4 +/- 2.75%)	B	O[C@H]1CNC[C@@H](O)[C@@H]1O		CHEMBL110830	=	Activity	%	36.6	CHEMBL3399913	Homo sapiens	Activity	%	36.6
	20600814	CHEMBL4603658	Displacement of fluorescent tagged ceramide from immobilized His-tagged CERT START domain (unknown origin) assessed as reduction in residual fluorescence activity by FLINT assay relative to control	B	CCCCCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO		CHEMBL450985	=	Inhibition	%	25.0	CHEMBL3399913	Homo sapiens	INH	%	25.0
	20600815	CHEMBL4603658	Displacement of fluorescent tagged ceramide from immobilized His-tagged CERT START domain (unknown origin) assessed as reduction in residual fluorescence activity by FLINT assay relative to control	B	CCCCCCCCCCCCO[C@H]1[C@H](O)[C@@H](O)CN(CCCCCCCCCCCC)[C@@H]1CO		CHEMBL4644609	=	Inhibition	%	20.0	CHEMBL3399913	Homo sapiens	INH	%	20.0
