activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2147323	CHEMBL922008	Activity of human MST3 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	107.0	CHEMBL5082	Homo sapiens	Activity	%	107.0
	2147323	CHEMBL922008	Activity of human MST3 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	107.0	CHEMBL5082	Homo sapiens	Activity	%	107.0
	2470284	CHEMBL987203	Inhibition of MST3 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5082	Homo sapiens	INH	%	10.0
	2476570	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O		CHEMBL257167	=	Activity	%	17.1	CHEMBL5082	Homo sapiens	Activity	%	17.1
Not Evaluated	2476773	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1		CHEMBL514582		Activity			CHEMBL5082	Homo sapiens	Activity		
Not Evaluated	2478612	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2		CHEMBL233000		Activity			CHEMBL5082	Homo sapiens	Activity		
	2478815	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1		CHEMBL86755	=	Activity	%	3.4	CHEMBL5082	Homo sapiens	Activity	%	3.4
Not Evaluated	2479670	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1		CHEMBL516312		Activity			CHEMBL5082	Homo sapiens	Activity		
	2480670	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2		CHEMBL514409	=	Activity	%	0.1	CHEMBL5082	Homo sapiens	Activity	%	0.1
Not Evaluated	2577291	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C		CHEMBL526901		Activity			CHEMBL5082	Homo sapiens	Activity		
Not Evaluated	2577494	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1		CHEMBL511337		Activity			CHEMBL5082	Homo sapiens	Activity		
	2593496	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878	=	Activity	%	21.6	CHEMBL5082	Homo sapiens	Activity	%	21.6
Not Evaluated	2593699	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1		CHEMBL249097		Activity			CHEMBL5082	Homo sapiens	Activity		
	2593965	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1		CHEMBL450519	=	Activity	%	20.5	CHEMBL5082	Homo sapiens	Activity	%	20.5
Not Evaluated	2594908	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL478649		Activity			CHEMBL5082	Homo sapiens	Activity		
Not Evaluated	2595111	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL1964275		Activity			CHEMBL5082	Homo sapiens	Activity		
Not Evaluated	2595177	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1		CHEMBL515466		Activity			CHEMBL5082	Homo sapiens	Activity		
Not Evaluated	2596308	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1		CHEMBL282342		Activity			CHEMBL5082	Homo sapiens	Activity		
Not Evaluated	2597577	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1		CHEMBL408019		Activity			CHEMBL5082	Homo sapiens	Activity		
Not Evaluated	2597780	CHEMBL992632	Binding affinity to human MST3 at 10 uM relative to control	B	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1		CHEMBL261454		Activity			CHEMBL5082	Homo sapiens	Activity		
	2721663	CHEMBL1057494	Inhibition of MST3 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5082	Homo sapiens	INH	%	50.0
	2901733	CHEMBL1062845	Binding constant for MST3 kinase domain	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5082	Homo sapiens	Kd	uM	10.0
	2901734	CHEMBL1062845	Binding constant for MST3 kinase domain	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5082	Homo sapiens	Kd	uM	10.0
	2901735	CHEMBL1062845	Binding constant for MST3 kinase domain	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	>	Kd	nM	10000.0	CHEMBL5082	Homo sapiens	Kd	uM	10.0
	2901736	CHEMBL1062845	Binding constant for MST3 kinase domain	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5082	Homo sapiens	Kd	uM	10.0
	2901737	CHEMBL1062845	Binding constant for MST3 kinase domain	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL5082	Homo sapiens	Kd	uM	10.0
	2901738	CHEMBL1062845	Binding constant for MST3 kinase domain	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL5082	Homo sapiens	Kd	uM	10.0
	2901739	CHEMBL1062845	Binding constant for MST3 kinase domain	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	=	Kd	nM	430.0	CHEMBL5082	Homo sapiens	Kd	nM	430.0
	2901740	CHEMBL1062845	Binding constant for MST3 kinase domain	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL5082	Homo sapiens	Kd	uM	10.0
