activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2147221	CHEMBL929100	Activity of human CK1gamma3 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	113.0	CHEMBL5084	Homo sapiens	Activity	%	113.0
	2147221	CHEMBL929100	Activity of human CK1gamma3 kinase at 1 uM	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	=	Activity	%	113.0	CHEMBL5084	Homo sapiens	Activity	%	113.0
	2470141	CHEMBL1034090	Inhibition of CSNK1G3 at 3 uM	B	CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1		CHEMBL521179	<	Inhibition	%	10.0	CHEMBL5084	Homo sapiens	INH	%	10.0
	2721577	CHEMBL1060985	Inhibition of CK1gamma3 at 1 uM	B	C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F		CHEMBL551079	<	Inhibition	%	50.0	CHEMBL5084	Homo sapiens	INH	%	50.0
	2892423	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1		CHEMBL223360	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892424	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21		CHEMBL572881	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892425	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1		CHEMBL574738	=	Kd	nM	97.0	CHEMBL5084	Homo sapiens	Kd	nM	97.0
	2892426	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		CHEMBL215152	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892427	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1		CHEMBL103667	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892428	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		CHEMBL296468	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892429	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892430	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892431	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892432	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892433	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		CHEMBL483321	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892434	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892435	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892436	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892437	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892438	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892439	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1		CHEMBL261849	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892440	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O		CHEMBL477772	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892441	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892442	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F		CHEMBL191003	=	Kd	nM	7900.0	CHEMBL5084	Homo sapiens	Kd	nM	7900.0
	2892443	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2892444	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2893223	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2893224	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2893225	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1		CHEMBL573339	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2893226	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2893227	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2893228	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762	=	Kd	nM	2900.0	CHEMBL5084	Homo sapiens	Kd	nM	2900.0
	2893229	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2893230	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2893231	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1		CHEMBL440084	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
	2893232	CHEMBL1051284	Binding constant for full-length CSNK1G3	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL5084	Homo sapiens	Kd	uM	10.0
