protein_id	Entry Name (UniProt)
CHEMBL1169596	ARAF_HUMAN
CHEMBL1795199	RIPK3_HUMAN
CHEMBL5728	CDKL2_HUMAN
CHEMBL2938	KPCG_HUMAN
CHEMBL279	VGFR2_HUMAN
CHEMBL5836	EPHB6_HUMAN
CHEMBL2300	GLPK_HUMAN
CHEMBL1250412	TRPM7_HUMAN
CHEMBL4901	EPHB3_HUMAN
CHEMBL4522	BMP2K_HUMAN
CHEMBL4203	CLK4_HUMAN
CHEMBL5145	BRAF_HUMAN
CHEMBL4388	KTHY_HUMAN
CHEMBL6150	ST32A_HUMAN
CHEMBL5627	LTK_HUMAN
CHEMBL3961	MK11_HUMAN
CHEMBL5084	KC1G3_HUMAN
CHEMBL4575	DYRK3_HUMAN
CHEMBL301	CDK2_HUMAN
CHEMBL4722	AURKA_HUMAN
CHEMBL3559692	CDK12_HUMAN
CHEMBL2345	KS6A3_HUMAN
CHEMBL2417352	MAST3_HUMAN
CHEMBL1075163	HASP_HUMAN
CHEMBL3108655	NEK10_HUMAN
CHEMBL1913	PGFRB_HUMAN
CHEMBL3627585	PEAK1_HUMAN
CHEMBL5095	WEE2_HUMAN
CHEMBL4121	KCC2B_HUMAN
CHEMBL5469	FAK2_HUMAN
CHEMBL1075195	TAOK2_HUMAN
CHEMBL4580	KITM_HUMAN
CHEMBL1862	ABL1_HUMAN
CHEMBL5546	MYO3A_HUMAN
CHEMBL2828	KC1D_HUMAN
CHEMBL1163120	P3C2G_HUMAN
CHEMBL258	LCK_HUMAN
CHEMBL1795193	KS6C1_HUMAN
CHEMBL3290	EPHB2_HUMAN
CHEMBL3920	KPCT_HUMAN
CHEMBL3988	EPHA4_HUMAN
CHEMBL4105756	STRAB_HUMAN
CHEMBL3983	TTK_HUMAN
CHEMBL2801	KCC2D_HUMAN
CHEMBL3938	STK16_HUMAN
CHEMBL5759	MK04_HUMAN
CHEMBL5014	RIPK2_HUMAN
CHEMBL4309	NEK6_HUMAN
CHEMBL3421525	F262_HUMAN
CHEMBL1163108	STK39_HUMAN
CHEMBL3117	CHKA_HUMAN
CHEMBL1908381	CSKP_HUMAN
CHEMBL2069163	TESK2_HUMAN
CHEMBL5332	MK07_HUMAN
CHEMBL3142	PRKDC_HUMAN
CHEMBL4523135	VIP2_HUMAN
CHEMBL2553	KS6A1_HUMAN
CHEMBL4766	PDK1_HUMAN
CHEMBL2534	PDPK1_HUMAN
CHEMBL3984	PMYT1_HUMAN
CHEMBL4851	ST38L_HUMAN
CHEMBL3108638	TIF1A_HUMAN
CHEMBL1936	KIT_HUMAN
CHEMBL3778	IRAK4_HUMAN
CHEMBL5491	WEE1_HUMAN
CHEMBL5455	FES_HUMAN
CHEMBL4523431	IP6K3_HUMAN
CHEMBL1938217	MLKL_HUMAN
CHEMBL2777	MYLK2_HUMAN
CHEMBL4036	CDK5_HUMAN
CHEMBL4899	M3K8_HUMAN
CHEMBL2939	MK13_HUMAN
CHEMBL3045	KPCB_HUMAN
CHEMBL4247	ALK_HUMAN
CHEMBL5274	TIE1_HUMAN
CHEMBL5940	MARK1_HUMAN
CHEMBL6144	GRK6_HUMAN
CHEMBL5754	MARK4_HUMAN
CHEMBL5024	ATR_HUMAN
CHEMBL299	KPCA_HUMAN
CHEMBL4670	MAPK3_HUMAN
CHEMBL5855	NEK1_HUMAN
CHEMBL5941	STK26_HUMAN
CHEMBL5810	EPHA1_HUMAN
CHEMBL3893	PDK3_HUMAN
CHEMBL3717	MET_HUMAN
CHEMBL2468	DAPK3_HUMAN
CHEMBL2417353	NEK8_HUMAN
CHEMBL5519	DCLK2_HUMAN
CHEMBL4142	FGFR2_HUMAN
CHEMBL3414416	TSSK3_HUMAN
CHEMBL6029	E2AK1_HUMAN
CHEMBL4718	MKNK1_HUMAN
CHEMBL3337327	TTBK2_HUMAN
CHEMBL2493	KCC1A_HUMAN
CHEMBL5638	NEK11_HUMAN
CHEMBL4311	PAK6_HUMAN
CHEMBL5319	DDR1_HUMAN
CHEMBL4816	AKT3_HUMAN
CHEMBL4937	KC1E_HUMAN
CHEMBL5543	DYR1B_HUMAN
CHEMBL5579	CTRO_HUMAN
CHEMBL5416	CD11A_HUMAN
CHEMBL5443	CDC7_HUMAN
CHEMBL3407326	PANK1_HUMAN
CHEMBL5907	LATS2_HUMAN
CHEMBL1770034	PI42C_HUMAN
CHEMBL5698	NUAK2_HUMAN
CHEMBL5320	DMPK_HUMAN
CHEMBL1293199	VRK1_HUMAN
CHEMBL1075167	HIPK4_HUMAN
CHEMBL6167	LATS1_HUMAN
CHEMBL2171	MP2K6_HUMAN
CHEMBL4202	SLK_HUMAN
CHEMBL1938223	PRPK_HUMAN
CHEMBL1075157	DGKG_HUMAN
CHEMBL2527	CHK2_HUMAN
CHEMBL4602	EPHA7_HUMAN
CHEMBL3385	MK03_HUMAN
CHEMBL5699	SIK2_HUMAN
CHEMBL5146	BCR_HUMAN
CHEMBL1075155	STK38_HUMAN
CHEMBL5311	ACVL1_HUMAN
CHEMBL3834	BMX_HUMAN
CHEMBL3112379	SMS2_HUMAN
CHEMBL5467	BMPR2_HUMAN
CHEMBL4948	MP2K5_HUMAN
CHEMBL4674	MK12_HUMAN
CHEMBL2742	FGFR3_HUMAN
CHEMBL5547	ANKK1_HUMAN
CHEMBL5330	M4K2_HUMAN
CHEMBL4900	KPCD2_HUMAN
CHEMBL4577	HIPK3_HUMAN
CHEMBL1293257	GALK1_HUMAN
CHEMBL4524035	KPSH1_HUMAN
CHEMBL2417354	AGK_HUMAN
CHEMBL5466	AVR2B_HUMAN
CHEMBL5790	CDK17_HUMAN
CHEMBL5753	COQ8B_HUMAN
CHEMBL3629	CSK21_HUMAN
CHEMBL5415	SRPK3_HUMAN
CHEMBL1906	RAF1_HUMAN
CHEMBL4599	ACK1_HUMAN
CHEMBL4204	MKNK2_HUMAN
CHEMBL5616	AVR2A_HUMAN
CHEMBL5432	M4K3_HUMAN
CHEMBL4598	STK4_HUMAN
CHEMBL5310	ACV1B_HUMAN
CHEMBL2292	DYR1A_HUMAN
CHEMBL6149	SIK3_HUMAN
CHEMBL4105759	IRAK2_HUMAN
CHEMBL4708	STK3_HUMAN
CHEMBL5678	GRK5_HUMAN
CHEMBL2349	PHKG2_HUMAN
CHEMBL3337330	PINK1_HUMAN
CHEMBL2160	NDKB_HUMAN
CHEMBL5331	MERTK_HUMAN
CHEMBL3542	NIM1_HUMAN
CHEMBL5932	LIMK2_HUMAN
CHEMBL4226	CLK3_HUMAN
CHEMBL3835	NEK2_HUMAN
CHEMBL3530	MP2K7_HUMAN
CHEMBL3529	IKKE_HUMAN
CHEMBL5856	CDK15_HUMAN
CHEMBL5260	TNI3K_HUMAN
CHEMBL2964	MP2K2_HUMAN
CHEMBL3421524	F261_HUMAN
CHEMBL4938	KAD2_HUMAN
CHEMBL5606	STK11_HUMAN
CHEMBL4175	MATK_HUMAN
CHEMBL1075165	PK3C3_HUMAN
CHEMBL6030	E2AK3_HUMAN
